Top pages,Clicks,Impressions,CTR,Position
https://techspressionism.com/video/roundtable/roundtable-5/,0,51,0%,26.73
https://techspressionism.com/wp-content/uploads/2025/09/2_Prompt-magazine-issue-15-1.pdf,0,50,0%,22.18
https://techspressionism.com/video/interview/bonaceto/,0,48,0%,13.5
https://techspressionism.com/nodes/,0,47,0%,10.87
https://techspressionism.com/exhibition/southampton/adelfino-corino/,0,43,0%,7.33
https://techspressionism.com/exhibition/southampton/dana-jones/,0,42,0%,9.98
https://techspressionism.com/exhibition/southampton/darcy-gerbarg/,0,41,0%,9.15
https://techspressionism.com/exhibition/southampton/malavika-mandal-andrew/,0,40,0%,7.42
https://techspressionism.com/exhibition/southampton/karen-lafleur/,0,40,0%,8.6
https://techspressionism.com/exhibition/southampton/patrick-lichty/,0,40,0%,14.6
https://techspressionism.com/video/salon/salon-24/,0,40,0%,17.05
https://techspressionism.com/mariniana/,0,39,0%,5.85
https://techspressionism.com/video/salon/salon-89/,0,39,0%,14.85
https://techspressionism.com/video/roundtable/approach/,0,39,0%,18.31
https://techspressionism.com/video/salon/salon-99/,0,38,0%,10
https://techspressionism.com/exhibition/southampton/mary-ann-strandell/,0,38,0%,10.29
https://techspressionism.com/exhibition/southampton/sue-beyer/,0,37,0%,15.11
https://techspressionism.com/video/interview/hodgkin/,0,37,0%,20.65
https://techspressionism.com/exhibition/southampton/susan-huang/,0,36,0%,12.06
https://techspressionism.com/brooklyn/media/artist-talk-acevedo-shapiro/,0,35,0%,6.54
https://techspressionism.com/author/everbeta/,0,35,0%,11.91
https://techspressionism.com/exhibition/southampton/seungjin-lee/,0,33,0%,6.82
https://techspressionism.com/exhibition/southampton/le-chat-noir/,0,33,0%,13.52
https://techspressionism.com/video/interview/davo/,0,33,0%,19.82
https://techspressionism.com/wp-content/uploads/2025/03/If-Picasso-had-a-Macbook-Pro-_-WIRED.pdf,0,33,0%,22.21
https://techspressionism.com/exhibition/southampton/lovid/,0,32,0%,30.44
https://techspressionism.com/collab-2/moses-x-price/,0,31,0%,15.61
https://techspressionism.com/exhibition/southampton/alessio-sanna/,0,30,0%,10.6
https://techspressionism.com/video/salon/salon-110/,0,29,0%,7.86
https://techspressionism.com/exhibition/collaborative-art-space/,0,29,0%,12.48
https://techspressionism.com/collab/goldberg-x-lichty/,0,29,0%,15.66
https://techspressionism.com/video/interview/gellis/,0,29,0%,23.66
https://techspressionism.com/exhibition/southampton/jan-swinburne/,0,29,0%,24.03
https://techspressionism.com/cyberiana/about/,0,28,0%,11.25
https://techspressionism.com/video/salon/salon-29/,0,28,0%,14.25
https://techspressionism.com/exhibition/southampton/scarletmotiff/,0,28,0%,21.18
https://techspressionism.com/exhibition/southampton/gregory-little/,0,28,0%,28.79
https://techspressionism.com/collab-2/pointer-x-ramonde/,0,25,0%,6.32
https://techspressionism.com/wp-content/uploads/2025/03/ARTSCOPE-Article_JanFeb25_Techpressionists_Roscoe-ADJ2.pdf,0,25,0%,13.08
https://techspressionism.com/brooklyn/reel/,0,24,0%,15.08
https://techspressionism.com/exhibition/southampton/dalton-portella/,0,24,0%,16.79
https://techspressionism.com/exhibition/southampton/verneda-lights/,0,23,0%,8.26
https://techspressionism.com/b/,0,23,0%,9.26
https://techspressionism.com/brooklyn/events/,0,23,0%,15.39
https://techspressionism.com/exhibition/techspressionism-2021/,0,23,0%,28.39
https://techspressionism.com/essays/suzanne-anker-techspressionism/,0,22,0%,13.82
https://techspressionism.com/exhibition/southampton/brandon-gellis/,0,21,0%,16.05
https://techspressionism.com/exhibition/southampton/n3t4/,0,21,0%,19.05
https://techspressionism.com/exhibition/southampton/lee-schnaiberg/,0,20,0%,9.65
https://techspressionism.com/wp-content/uploads/2025/03/2011_techspressionism_4_north_main_catalog_compressed.pdf,0,20,0%,17.95
https://techspressionism.com/video/salon/salon-32/,0,20,0%,22
https://techspressionism.com/exhibition/southampton/ply300/,0,20,0%,25.6
https://techspressionism.com/exhibition/southampton/diane-marsella/,0,19,0%,5.79
https://techspressionism.com/essays/sciulli/,0,19,0%,18.21
https://techspressionism.com/video/salon/salon-37/,0,19,0%,26.37
https://techspressionism.com/video/salon/salon-26/,0,19,0%,43.05
https://techspressionism.com/exhibition/southampton/deann-stein-hasinoff/,0,18,0%,5.17
https://techspressionism.com/exhibition/southampton/diana-de-avila/,0,18,0%,13.56
https://techspressionism.com/exhibition/southampton/nesrin-soylemez/,0,18,0%,14.56
https://techspressionism.com/video/salon/salon-30/,0,18,0%,23.89
https://techspressionism.com/exhibition/southampton/tor-burwell/,0,17,0%,4.76
https://techspressionism.com/exhibition/southampton/lee-musgrave/,0,17,0%,5.29
https://techspressionism.com/exhibition/southampton/philippe-ormieres/,0,17,0%,9.35
https://techspressionism.com/video/salon/salon-85/,0,17,0%,10.94
https://techspressionism.com/exhibition/southampton/sherry-karver/,0,17,0%,21.76
https://techspressionism.com/wp-content/uploads/2025/03/2022_aaq_AAQ-Portfolio-Southampton-Arts-Center_compressed.pdf,0,17,0%,23.24
https://techspressionism.com/video/salon/salon-58/,0,17,0%,27.88
https://techspressionism.com/chelsea/reel/,0,16,0%,16.75
https://techspressionism.com/essays/frank-gillette-techspressionism/,0,16,0%,17.5
https://techspressionism.com/video/salon/salon-8/,0,16,0%,25.69
https://techspressionism.com/video/salon/salon-19/,0,16,0%,27.38
https://techspressionism.com/exhibition/southampton/nina-sobell/,0,16,0%,37.75
https://techspressionism.com/betahome-novid/,0,15,0%,7.6
https://techspressionism.com/video/salon/salon-28/,0,15,0%,8.27
https://techspressionism.com/collab-2/ehtesabian-x-gellis/,0,15,0%,9.4
https://techspressionism.com/video/salon/salon-70/,0,15,0%,12.87
https://techspressionism.com/cyberiana/,0,15,0%,18.73
https://techspressionism.com/exhibition/southampton/paul-d-miller/,0,15,0%,35.87
https://techspressionism.com/exhibition/southampton/tomaz-favilla/,0,14,0%,6.93
https://techspressionism.com/exhibitions-2/,0,14,0%,8.93
https://techspressionism.com/exhibition/southampton/mark-pechlivanos/,0,14,0%,16.64
https://techspressionism.com/wp-content/uploads/2025/03/2022_James_Lane_Post_Colin-Goldberg-Curator-Of-Techspressionism.pdf,0,14,0%,25.36
https://techspressionism.com/exhibition/nft-now/,0,14,0%,38
https://techspressionism.com/wp-content/uploads/2022/08/ArtTour-Howard-Harris-Summer2022.pdf,0,13,0%,9.69
https://techspressionism.com/roundtable/,0,13,0%,17.38
https://techspressionism.com/exhibition/southampton/nina-yankowitz/,0,13,0%,23.62
https://techspressionism.com/exhibition/southampton/scojo/,0,13,0%,32.46
https://techspressionism.com/homepage-reel-credits-vertical-reel/,0,12,0%,4.5
https://techspressionism.com/exhibition/southampton/oz-van-rosen/,0,12,0%,7.42
https://techspressionism.com/video/salon/salon-69/,0,12,0%,14
https://techspressionism.com/video/salon/salon-44/,0,12,0%,18.33
https://techspressionism.com/exhibition/southampton/andy-thomas/,0,12,0%,32.92
https://techspressionism.com/exhibition/collaborative-art-space-exhibition-online-offline/,0,11,0%,6.09
https://techspressionism.com/video/salon/salon-103/,0,11,0%,6.36
https://techspressionism.com/exhibition/southampton/sarah-song-and-andy-wauman/,0,11,0%,10.55
https://techspressionism.com/exhibition/southampton/skywaterr/,0,11,0%,25.18
https://techspressionism.com/collab-2/gerbarg-x-pointer/,0,10,0%,5.6
https://techspressionism.com/video/interview/matushevitz/,0,10,0%,11.4
https://techspressionism.com/homepage-reel-credits-horizontal-reel/,0,10,0%,11.7
https://techspressionism.com/exhibition/southampton/lee-day/,0,10,0%,17.3
https://techspressionism.com/wp-content/uploads/2025/03/2014_EH_Star_2014_Goldberg_Techspressionist.pdf,0,10,0%,22.2
https://techspressionism.com/video/salon/salon-55/,0,10,0%,23.3
https://techspressionism.com/exhibition/southampton/meltdownlove/,0,10,0%,29.2
https://techspressionism.com/exhibition/southampton/carter-hodgkin/,0,10,0%,30.4
https://techspressionism.com/exhibition/southampton/dan-welden/,0,10,0%,61.5
https://techspressionism.com/essays/spalter-digital-and-beyond/,0,9,0%,5.89
https://techspressionism.com/brooklyn/media/video/,0,9,0%,6.11
https://techspressionism.com/exhibition/southampton/francene-levinson/,0,9,0%,7.78
https://techspressionism.com/brooklyn/ar/,0,9,0%,11
https://techspressionism.com/wp-content/uploads/2024/10/Student-responses-to-Techpressionism-2024_anonymized.pdf,0,9,0%,29.33
https://techspressionism.com/video/salon/salon-64/,0,9,0%,33.44
https://techspressionism.com/video/salon/salon-36/,0,8,0%,17.75
https://techspressionism.com/video/salon/salon-94/,0,8,0%,24
https://techspressionism.com/essays/helen-harrison-techspressionism-2011/,0,7,0%,5.43
https://techspressionism.com/wp-content/uploads/2025/09/2_Prompt-magazine-issue-15.pdf,0,7,0%,9.86
https://techspressionism.com/uzbekistan/press/,0,7,0%,24.71
https://techspressionism.com/paris/paris-drive/,0,7,0%,34.14
https://techspressionism.com/exhibition/brooklyn-2021/,0,7,0%,42.14
https://techspressionism.com/online-events/art-in-focus/,0,6,0%,6.83
https://techspressionism.com/exhibition/southampton/reel/,0,6,0%,21.33
https://techspressionism.com/wp-content/uploads/2025/03/OZ_Van_Rosen_Beyond_Photography_September-2020-1.pdf,0,6,0%,23.67
https://techspressionism.com/exhibition/southampton/tintin23x/,0,6,0%,72.5
https://techspressionism.com/wp-content/uploads/2023/02/qr-code.pdf,0,5,0%,14.6
https://techspressionism.com/wp-content/uploads/2025/03/2021_artnet_Editors-Picks.pdf,0,5,0%,53.2
https://techspressionism.com/chelsea/artists/,0,4,0%,2
https://techspressionism.com/brooklyn/media/zaza/,0,4,0%,4.5
https://techspressionism.com/video/salon/salon-13/,0,4,0%,11.5
https://techspressionism.com/captions/,0,4,0%,14.25
https://techspressionism.com/video/salon/salon-16/,0,4,0%,25.5
https://techspressionism.com/video/salon/salon-59/,0,4,0%,27.25
https://techspressionism.com/wp-content/uploads/2021/12/SIGGRAPH_SPARKS.pdf,0,4,0%,32.75
https://techspressionism.com/collab-2/andrew-x-henderson/,0,4,0%,33
https://techspressionism.com/video/salon/salon-50/,0,4,0%,43
https://techspressionism.com/exhibition/collaborative-art-space-exhibition-not-yet-decided/,0,3,0%,5.67
https://techspressionism.com/wp-content/uploads/2025/03/2019_dans_papers_Zen-The-Art-Of-Women.pdf,0,3,0%,6.33
https://techspressionism.com/video/salon/salon-78/,0,3,0%,7.33
https://techspressionism.com/video/salon/salon-81/,0,3,0%,7.33
https://techspressionism.com/uzbekistan/media/writings/cynthia-beth-rubin/,0,3,0%,7.67
https://techspressionism.com/video/salon/salon-93/,0,3,0%,8
https://techspressionism.com/video/salon/salon-88/,0,3,0%,11
https://techspressionism.com/wp-content/uploads/2025/03/2017_Northforker_‘Hybrid-exhibit-at-Alex-Ferrone-Gallery-combines-technology-with-tradition.pdf,0,3,0%,11.33
https://techspressionism.com/uzbekistan/media/photos/opening/,0,3,0%,54
https://techspressionism.com/exhibition/southampton/sean-mick/,0,3,0%,83.67
https://techspressionism.com/video/salon/salon-18/,0,2,0%,2
https://techspressionism.com/video/salon/salon-10/,0,2,0%,3
https://techspressionism.com/brooklyn/media/,0,2,0%,4.5
https://techspressionism.com/video/salon/salon-17/,0,2,0%,8
https://techspressionism.com/southampton/press/,0,2,0%,17.5
https://techspressionism.com/uzbekistan/catalog/,0,2,0%,18
https://techspressionism.com/wp-content/uploads/2025/03/2021_lenscratch_Digital-Mediations-1.pdf,0,1,0%,1
https://techspressionism.com/wp-content/uploads/2025/03/HAH_ernst_review_techspressionism_2014.pdf,0,1,0%,2
https://techspressionism.com/video/salon/salon-15/,0,1,0%,5
https://techspressionism.com/video/interview/moses/,0,1,0%,6
https://techspressionism.com/collab-2/marsella-x-pons/,0,1,0%,9
https://techspressionism.com/video/salon/salon-84/,0,1,0%,9
https://techspressionism.com/collab-1/,0,1,0%,30
https://techspressionism.com/wp-content/uploads/2025/03/2021_hamptons.com_Colin-Goldberg-Captures-The-World-with-Techspressionism.pdf,0,1,0%,43
