word,count,examples
than,6,corpus/interview-028.md: ...ou know it was maybe a little different than than you know. Some of my friends households... | corpus/salon-013.md: ... a door that's going to open a lot more than than than just what we're seeing today.  I m...
see,6,"corpus/interview-028.md: ...sting. Yeah, I could definitely I could see see where you're coming from with that. I n... | corpus/presentation-003.md: ...)  Wonder somewhat how these scientists see see the work that you all have created. I m..."
her,5,"corpus/interview-005.md: ...line dating site you know years ago and her her nephew was like oh when are you gonna m... | corpus/presentation-009.md: ...come more colorful, bright colors, like her her death that this would become a museum a..."
amazing,5,corpus/interview-005.md: ...hell. Yeah. Katsuhiro otomo yeah I mean amazing amazing work and then ghost in the shell the fi... | corpus/interview-022.md: ...the hospital and then I would have this amazing amazing freedom when I came home at the at the ...
using,5,corpus/interview-006.md: ...ve done about three four hundred pieces using using do you  ## Colin Goldberg [43:10](https... | corpus/interview-021.md: ...xample of sort of an expressive drawing using using using using these polyhedral ideas. And...
even,5,"corpus/interview-010.md: ...ement. But it's this idea that there is even even though there's always a digital artifac... | corpus/interview-020.md: ...ery much so. I think the Mediterranean, even even, you know, as you go further north in F..."
into,5,"corpus/interview-027.md: ...ng to you know, really get some insight into into what the work is about, you know, and I... | corpus/salon-012.md: ...what I see as a digital visual language into into painting. Hey Carter, I don't mean to i..."
every,5,corpus/salon-009.md: ...ust designing a multi-level gallery and every every student gets a room that is this big to... | corpus/salon-015.md: ...his one's four hours long again there's every every moment is unique through the whole work...
gotcha,5,"corpus/salon-081.md: ...outube.com/watch?v=VfiH4ayJbGE&t=917s)  Gotcha gotcha! No worries. Could you? Just share a li... | corpus/salon-081.md: ...utube.com/watch?v=VfiH4ayJbGE&t=1020s)  Gotcha gotcha awesome. Well, sounds like a really int..."
three,4,corpus/interview-005.md: ...k it's over there but yeah there's only three three all-male colleges mainstream colleges l... | corpus/interview-022.md: ... of them they ran between 20 inches and three three and a half feet and we sold this all th...
technology,4,"corpus/interview-006.md: ... the other hand is that then how we see technology technology as an as a man as a matter of agent in ... | corpus/interview-006.md: ..., you know, like digital computer-based technology technology start coming into your work as a medium..."
art,4,corpus/interview-006.md: ...efined it best and saying that you know art art that's a pros art that is the result of... | corpus/interview-013.md: ...re my concerns were and I got away from art art like the art for art's sake says this k...
we've,4,"corpus/interview-016.md: ...festivals like Kumbh Mela. In the West, we've we've gone into this industrialized situation... | corpus/salon-045.md: ...)  Yeah. He mentioned you specifically. We've we've exchanged a couple emails, you know, an..."
here,4,corpus/presentation-004.md: ...uld be told to dream fascinated me.  So here here's an example of some of his pseudo code... | corpus/salon-019.md: ...here is a quick oops what did I just do here here's a very quick video of that presupích ...
many,4,"corpus/presentation-008.md: ...es and to be inspired by each other. So many many thanks to all of you, and Cynthia, many... | corpus/salon-035.md: ...useum in Taiwan. So I was able to win a many many bigger war. So I realized that you can ..."
little,4,"corpus/roundtable-002.md: ...  Touch, digit, finger, heart touch. My little little diagram up there. You're starting to to... | corpus/salon-038.md: ...and the and my iPhone sees it. How this little little brain in there sees it in the in the sq..."
white,4,"corpus/roundtable-004.md: ...ull apart, and you've just had two dead white white blood cells at the moment. So I was loo... | corpus/salon-024.md: ...r semi-gloss and then on clear metal or white white I definitely use the white and I like s..."
both,4,corpus/roundtable-004.md: ...ch?v=4HfJCnIp8XE&t=2681s)  I appreciate both both of your perspectives and answers. I kno... | corpus/salon-054.md: ...ing it at the same time is beautiful so both both those mediums as far as being immersive...
after,4,"corpus/salon-008.md: ...as not mixing.  I mean, like converting after after changing the digital effect. I'm not co... | corpus/salon-033.md: ...any questions, they'll come back to you after after the other presentations. Maybe they're ..."
actually,4,corpus/salon-010.md: ...s called Thinking Too Much.  This piece actually actually was part of a collaboration that I've b... | corpus/salon-023.md: ... buy a print at least Some artists have actually Actually gotten the habit of actually selling an...
something,4,"corpus/salon-010.md: ... the title or want to participate, what something something to let me know that you want to partici... | corpus/salon-027.md: ...re I need to be like this is a style or something something close to this style is something where ..."
why,4,corpus/salon-014.md: ...u know I think that's also a big reason why why nft people are gravitating towards twit... | corpus/salon-047.md: ...uestion itself in other words it's like why why is I mean we can maybe say that you kno...
wild,4,corpus/salon-014.md: ...like a disclaimer.  Yeah. It's like the Wild Wild West right now. It really is. And I thi... | corpus/salon-034.md: ...nd I said this last year it's still the wild wild west with nfts right now there's just s...
hi,4,corpus/salon-041.md: ....com/watch?v=XUBL7L41hjA&t=4076s)  Okay Hi Hi I'm going to try to Screen share Which ... | corpus/salon-087.md: ...y Malavika Manjulandru is Malavika yeah hi hi thank you Mona for organizing the beaut...
thank,4,"corpus/salon-046.md: ...ly, the one thing that I really want to thank thank everybody for is that I want to thank e... | corpus/salon-077.md: ...com/watch?v=e58ctMQ-ccc&t=2948s)  Well, thank thank you for asking. And this technology is ..."
definitely,3,corpus/interview-002.md: ...Yeah that makes a lot of sense you know definitely definitely so do you have any specific influences ... | corpus/salon-040.md: ....com/watch?v=Z-RFTbQ7GF8&t=3481s)  Yeah definitely definitely techno music is usually what I'm listen...
type,3,"corpus/interview-002.md: ...ge. You know, it's kind of like Pokemon type type collecting, but like evolved into some ... | corpus/salon-039.md: ...ital artist. She does web work and that type type of work, but fine art. And this is an i..."
now,3,"corpus/interview-005.md: ..., oh okay there it is. All right. Okay, now now so my primary stuff so it's going to be... | corpus/salon-015.md: ...cal ones, but also the digital ones. So now now I'm to be honest in a phase where, you ..."
absolutely,3,corpus/interview-005.md: ...y how things change and develop yeah no absolutely absolutely and how you know like I mean anime and ... | corpus/interview-028.md: ...outube.com/watch?v=xkfYnuTP2zA&t=106s)  Absolutely absolutely so. Would you mind telling us a little ...
yep,3,corpus/interview-006.md: ...utube.com/watch?v=a5h-eBQYrks&t=2889s)  Yep yep yep and then the other the other thing ... | corpus/salon-014.md: ...d platforms and verification procedures yep yep yep I agree that a lot of the controver...
might,3,"corpus/interview-010.md: ...d know like, you know, like this person might might be interested or appreciate this and th... | corpus/salon-029.md: ...nd of thinking about where the movement might might be going in the near future. I was just..."
once,3,corpus/interview-011.md: ...e and keeps it keeps it set and it just once once you have the 3d model that 3d model is ... | corpus/salon-008.md: ...tional costs for promotion of the show. Once once there's something finalized for the dat...
most,3,"corpus/interview-011.md: ...2s)  Yeah, this is you know, this is my most most recent body of work. And it is. Wait, s... | corpus/roundtable-001.md: ...is not expressing emotional experience. Most Most artists tend to be deeply involved into..."
go,3,corpus/interview-013.md: ... my mind calls for is what I'm going to go go to create with. So now I work at the Je... | corpus/salon-034.md: ...collector they'd probably be willing to go go that way no infinite objects is like a ...
oh,3,corpus/interview-013.md: ...utube.com/watch?v=w6fW5oWbBdk&t=1480s)  Oh oh yep binge watched it was good and I lov... | corpus/interview-020.md: ... are in the art art substitute pavilion oh oh oh! Neat so except for the man that I j...
pretty,3,corpus/interview-013.md: ...ticularly offensive so this one offends pretty pretty regularly but what I wanted to say some... | corpus/interview-013.md: ...y just traded with colin on which I was pretty pretty excited so I think I might have a bette...
small,3,corpus/interview-019.md: ...Iz5k&t=708s)  Yeah so we used to have a small small room but in we in our college we have a... | corpus/salon-024.md: ...gital collage on that I have used these small small colors these are seven colors actually ...
awesome,3,corpus/interview-021.md: ...e worked at soft image it was really an awesome awesome piece so I met I think I met roz during... | corpus/salon-022.md: ...ou wanted to add or not really you know awesome awesome salon and definitely like you know like...
new,3,"corpus/interview-028.md: ... used to take one's own work and create new new things out of it. I think that's someth... | corpus/interview-028.md: ...You know, it opens the door to creating new new ideas and interesting things. So.  ## S..."
almost,3,corpus/presentation-004.md: ...uldn't make them digital artists. Every almost almost every serious photographer on the plane... | corpus/salon-028.md: ...e first time in a minute that we've had almost almost a full hour left over. So I'm at a bit ...
wilson,3,"corpus/presentation-005.md: ...Visual Expression. My name is Lucy Boyd-Wilson Wilson. I'm an artist, a technologist, and a f... | corpus/salon-081.md: ...ou. Hi, everybody. My name is Lucy Boyd-Wilson Wilson. I'm here in San Diego. I create animat..."
things,3,"corpus/presentation-009.md: ...d of course he did many celebrities and things things that were very popular at the time, lik... | corpus/salon-021.md: ...become so rapid and fluid that you know things things like this community have you know have ..."
renata,3,"corpus/presentation-009.md: ...tch?v=8aQDDA-u0io&t=5129s)  So where is Renata Renata,  ## Colin Goldberg [01:25:31](https://... | corpus/salon-021.md: ...or thank you I just something quick for renata renata I'm bowled over by your work absolutely..."
you've,3,"corpus/roundtable-005.md: ...38s)  Okay, that's interesting. It's so you've you've ended up Turning sound into sculptures.... | corpus/salon-030.md: ...e thank you totally relate yeah because you've you've had to use your own design elements for..."
called,3,"corpus/salon-009.md: ...w with machines and this is not an 2015 called called sensible concepts and this was a piece ... | corpus/salon-009.md: ...his is an ongoing project that I've had called called personal taxonomies, which is currently..."
getting,3,"corpus/salon-010.md: ...atform. I wasn't aware of that, but I'm getting getting a little bit into that. So some there w... | corpus/salon-060.md: ...r that and for myself as far as sort of getting getting used to it I mean it was a bit of a jou..."
put,3,"corpus/salon-011.md: ...pace that is like, you know, I actually put put a feeler out to a coder whose work that... | corpus/salon-067.md: ...citing. Colin Goldberg, M.D.: You know, put put a percentage out there, so I think the ..."
let,3,"corpus/salon-014.md: ...as fee thanks to sue buyer she actually let let let us know about that you know so I ju... | corpus/salon-022.md: ...king games, is there a reason why. You. Let let the characters like walk through the ge..."
digital,3,corpus/salon-014.md: ...it's nothing new it's nothing native to digital digital art you know what I mean it might be th... | corpus/salon-034.md: ...hy my home studio my monitor is set for digital digital prints because exactly of that backlit ...
e,3,"corpus/salon-015.md: ...urface with this thing called transfer. E E Z E, I believe is transfer easy.  And t... | corpus/salon-045.md: ...hich is. Michael Rees dot org Reese's R E E S dot O R G. And tomorrow afternoon at ..."
last,3,"corpus/salon-016.md: ...different. So what happened is, is that last last edition we had we had, you know, we had... | corpus/salon-043.md: ...ject. And the very funny because, like, last last year it was a January he just say oh yo..."
also,3,"corpus/salon-024.md: ...m going to try somehow.  That's, that's also Also, thing we're good at, making suggestion... | corpus/salon-045.md: ...e talk about eat maybe as yeah and then also Also, there were the people in Zagreb, you k..."
always,3,corpus/salon-027.md: ...t my first drawing tablet because I had always always always want to create like actually be ... | corpus/salon-027.md: ...ll be in the same style but it's almost always always always representative of the same idea ...
way,3,"corpus/salon-034.md: ...'s like, OK, maybe it maybe NFTs go the way way of the dodo, like what they just stop b... | corpus/salon-040.md: ...gures leaning into leaning into it in a way way back when and that's it that's all I re..."
ai,3,"corpus/salon-034.md: ...she just found these a very interesting ai ai audio app this actually can you can cre... | corpus/salon-092.md: ...ing, that it's about the ethical use of AI AI, cause it's here. It's here. It's here ..."
up,3,corpus/salon-036.md: ...ght and with that I think dalton you're up up.  ## Dalton Portella [25:34](https://ww... | corpus/salon-058.md: ... Thanks for being here. All right. Next up up Colin. Did you want to wait till like t...
thanks,3,corpus/salon-047.md: ....  Just gives it that quality cool yeah thanks thanks for asking you thanks  ## Michael Pierr... | corpus/salon-076.md: ...s a lot of history behind that yeah now thanks thanks Colin for showing that the next thing t...
image,3,"corpus/salon-067.md: ...n't want to put up just a straight text image image, so I feel like that's some. Renata Kar... | corpus/salon-077.md: ... to the menu on the right, where it has image image image image. And then there's a video o..."
bernada,3,corpus/salon-087.md: ...ight work happening here thank you yeah bernada bernada bernada bernada bernada yes thank you b... | corpus/salon-087.md: ...ing here thank you yeah bernada bernada bernada bernada bernada yes thank you bernada bernada b...
robbins,3,"corpus/salon-092.md: ...rtists presenting today are Ariel Baron-Robbins Robbins System.  Michael Pierre Price and Randi... | corpus/salon-092.md: ...m. And our 1st presenter is Ariel Baron-Robbins Robbins, who is an interdisciplinary artist and..."
clip,3,corpus/salon-100.md: ...t to show you. And it should start now. Clip clip clip clip clip clip Thank you. Thank yo... | corpus/salon-100.md: ...you. And it should start now. Clip clip clip clip clip clip Thank you. Thank you. And gre...
while,2,corpus/interview-005.md: ...so I made a conscious effort I was like while while I'm working on this while I'm doing thi... | corpus/salon-076.md: ...82 okay yeah I was working on C64 games while while at Coleco so yeah nice nice what games ...
running,2,corpus/interview-005.md: ...be.com/watch?v=qE6D2wrr1rU&t=5357s)  Me running running my mouth off as I am want to do these d... | corpus/salon-057.md: ...f clouds and smoke and ashes and people running running and screaming and hollering and knowing...
play,2,"corpus/interview-006.md: ...th the sketch to painting things in the play play form project and you know this is also ... | corpus/salon-078.md: ...jump on the Nfc. Bandwagon, but also to play play with the idea of the written word withi..."
mid,2,corpus/interview-007.md: ...m it was at that time this was like the mid mid 60s probably about 66 or so I was capti... | corpus/salon-024.md: ...lways go for like mid or semi yeah semi mid mid glass semi glass is definitely the way ...
done,2,"corpus/interview-008.md: ...rawn using like a squeeze bottle. I had done done the grid by pencil and then I went over... | corpus/presentation-004.md: ...nting called Sky People, which was also done done in high school. We got our first family..."
tell,2,"corpus/interview-009.md: .... So, you know, maybe if you could just tell tell us a little bit more about that, you kn... | corpus/salon-067.md: ...nd change your prompt a little bit yeah tell tell the machine to say no you didn't get th..."
doobie,2,"corpus/interview-011.md: ... it had all kinds of pieces in it, like Doobie Doobie Doo and Caduceus. And sorry, I forget. ... | corpus/interview-011.md: ... the, the lamp over here. There was the doobie doobie doo back there in the corner. And those..."
young,2,corpus/interview-013.md: ...gram that I started using you know as a young young art wannabe artist wannabe so I want to... | corpus/interview-026.md: ...nt influences she is giving talks about young young art and alchemy and the alchemical imag...
big,2,"corpus/interview-013.md: ...generation right over here nice yeah so big big big fans here too very cool back to art... | corpus/salon-085.md: ...eople. Robert Green, worker associates, big big time players in this show, also working..."
huge,2,"corpus/interview-013.md: ...k that's kind of really that's really a huge huge influence for me kind of pop culture so... | corpus/salon-078.md: ...or the Intro Michael, because this is a huge huge topic. They can go in a million differe..."
never,2,corpus/interview-013.md: ...ter for some reason so my atoms kind of never never were as compelling to me for whatever r... | corpus/interview-018.md: ... moving piece because our artists would never never stop developing digital vegetables only...
six,2,corpus/interview-013.md: ...re of a part of but kovat happened like six six months after we moved into the city or ... | corpus/salon-025.md: ...dy decided they want to pick up so yeah six six four five great project Davo thank you ...
until,2,"corpus/interview-015.md: ...k&t=2703s)  Or it may not be recognized until until someone finds the capsule, you know, ou... | corpus/salon-092.md: ...ah. So now in Moscow. Don't know. Maybe until Until summer or longer. Not sure yet.  ## Col..."
word,2,"corpus/interview-016.md: ...erson that sort of hears this phrase or word word or whatever you want to call it, comes ... | corpus/salon-015.md: ...and say, so what do you think?  But the word word mesmerizing comes up, you know, the ide..."
same,2,"corpus/interview-021.md: ... some kind of like crazy version of it. Same same elements, but just kind of.  ## Colin G... | corpus/salon-014.md: ... the contracts rarible rarible does the same same thing I have two minutes on rareable an..."
non,2,corpus/interview-021.md: ...cause they were bringing in abstraction non non-objective form as they used to say and ... | corpus/salon-084.md: ...sted in it because of the Byzantine and non non Western Kinds of work. And anyway.  I'l...
weather,2,"corpus/interview-027.md: ...th the land, and Cycles and seasons and Weather weather's like really Important. In my cultural... | corpus/salon-041.md: ...g Events That are going on Although our weather Weather pattern here is Still a bit Holding up ..."
building,2,"corpus/interview-027.md: ... of the pandemic we were like building, building building, and then the pandemic hit, and this al... | corpus/salon-094.md: ...art of our collection and we are slowly building building up a really kind of a comprehensive, co..."
verse,2,"corpus/interview-028.md: ... In a digital age.  A co-founder of the verse verse, and a graduate of Harvard and Oxford. ... | corpus/interview-028.md: ...ou? Can you talk a little bit about the verse verse and what that's all about.  ## Sasha St..."
laser,2,"corpus/presentation-006.md: ...a usually handheld device that combines laser laser beams to position models, 3D objects an... | corpus/presentation-006.md: ...ed with the point cloud. So this is the laser laser beam that is produced by the laser. So ..."
pieces,2,"corpus/presentation-009.md: ... something.  So, so there's a series of pieces pieces that I have. Let me see if I can pull u... | corpus/salon-093.md: ...e first slide is a still from one of my pieces pieces of animation for the final work and I m..."
clear,2,corpus/roundtable-004.md: ...ay vanitas changed still life so it was clear clear that technology was going to offer the ... | corpus/salon-090.md: ...on a carpet to photograph I always left clear clear areas in each one of the flexi pieces a...
research,2,"corpus/roundtable-005.md: ...eful, too. This very tight academic. We research research group with like happenings. And I just ... | corpus/salon-078.md: ...an see here that II was basically doing research research within the artwork and the installation..."
looks,2,"corpus/roundtable-005.md: ..., like I can do something with this. It looks Looks like I can play with this. And It's rea... | corpus/salon-016.md: ...lly expand your expression.  It's has a looks looks great. Yeah. It's a lot of potential co..."
beautiful,2,corpus/salon-012.md: ...hen as was being shown.  Earlier with a beautiful beautiful bubble chamber. And I don't know what y... | corpus/salon-108.md: ...you so much for allowing us to use your beautiful Beautiful artwork for.  ## Randi Matushevitz [07:...
experience,2,"corpus/salon-013.md: ...oration but the fact that you have that experience experience and a lot of us have talked about how w... | corpus/salon-032.md: ...s. The essence of it, it really is live experience experience. So, cause when we're creating, the con..."
welcome,2,corpus/salon-014.md: ...atch?v=MZ7JzodmmIA&t=0s)  Fun all right welcome welcome to our what's this 14 13th 14th I think... | corpus/salon-014.md: ...le so stay tuned for that yeah and what welcome welcome and thanks for being here I think I'm g...
tech,2,"corpus/salon-014.md: ...to do that. Like Sherry, I'm pretty low tech tech, so I don't... This was done on word pr... | corpus/salon-070.md: ...r my personal experiences, working with tech tech technologies in the arts. Often.  There..."
next,2,corpus/salon-014.md: ...n you know and be able to chat about it next next time we have I believe it's so we have ... | corpus/salon-094.md: ...reet at the lobby. So I guess maybe the next next thing is the artists in each individual...
making,2,"corpus/salon-015.md: ...the itunes app store a little bit retro making making that work artwork app in a sense but it... | corpus/salon-040.md: ...rom keyboard. In other words, you know, making making work and also a lot of I'm doing a cont..."
wilted,2,"corpus/salon-015.md: ...ow, he's been doing some stuff with the wilted wilted wilted also have a interview coming up ... | corpus/salon-036.md: ...e find what I didn't find. Here are the wilted wilted wilted, this is an example of, I like t..."
camera,2,"corpus/salon-016.md: ...en. Can you see I'm trying to see if my camera camera has my thing. Anyway, but this Kodak Lu... | corpus/salon-058.md: ... to exploring the Kinect device. It's a camera camera device this is a Kinect. It's a has a R..."
form,2,"corpus/salon-020.md: ... or, you know, it's an, a known unknown form form idiom. It has its own history. A lot of... | corpus/salon-045.md: ...ally how technology is the. The way we. Form form our understanding our conceptualization..."
good,2,"corpus/salon-024.md: ...sh on so I'm like oh oh there's a flash good good morning, you know, and, but I haven't f... | corpus/salon-078.md: ...and English and that group. So that's a good good reminder. She's going through what she ..."
bit,2,corpus/salon-024.md: ... who came to the show with me who was a bit bit of a mucky muck and she was like do you... | corpus/salon-078.md: ...en't done it yet. I think it's a little bit bit of a bigger grab than the Latin languag...
early,2,corpus/salon-025.md: ...aking collages on color xeroxes this is early early 90s and at the time I was oh I was real... | corpus/salon-040.md: ...in there as far as I was concerned like early early 2000s trip trance yeah  ## Colin Goldbe...
global,2,"corpus/salon-029.md: ... involved with now still currently on a global global warming. So I've been working with the ... | corpus/salon-105.md: ...ore people.  And, I wanted to make it a global global… and I still do, and it started in 2000..."
sculpture,2,corpus/salon-030.md: ...uced to the max. It's like I'm making a sculpture sculpture. And then. I'm putting it inside a nice... | corpus/salon-062.md: ...own feeling is a photograph to a wooden sculpture sculpture is transformation of that image. You kn...
sometimes,2,"corpus/salon-031.md: ...t is also a thing that does happen here sometimes sometimes the Wi Fi does not behave and technical... | corpus/salon-057.md: ..., and I have a very rich dream life and sometimes sometimes numeric, but I always try to filter it ..."
totally,2,"corpus/salon-031.md: ...rning I hope that answers your question totally totally absolutely thank you so much oh we have... | corpus/salon-077.md: ...-ccc&t=3147s)  Wow, Suzanne, brilliant, totally totally awesome presentation. I'm fascinated wi..."
wow,2,corpus/salon-031.md: ...want to do some art event and I said oh wow wow that's good so I don't really just ask ... | corpus/salon-041.md: ...hanged directions and everybody's going wow wow that's interesting yeah  ## Ann Shapiro...
video,2,corpus/salon-032.md: ...lly there with these combining the live video video.  These figures. And right now I'm focu... | corpus/salon-062.md: ...here you go. Do I do optimize video for video video clip as well no I would skip that one o...
someone,2,"corpus/salon-032.md: ..., I can't tell. I'm sorry. Tell us Pure someone someone's asking for pure data software. Raise ... | corpus/salon-034.md: ...w you to be able to book a meeting with someone someone like a celebrity and that's cooked into..."
time,2,corpus/salon-033.md: ...ing is ready so it's time to let go and time time to kind of you know be present so this ... | corpus/salon-047.md: ...fascinating too well I'm looking at the time time here and it looks like we're getting cl...
concept,2,corpus/salon-033.md: ...t. So I have my processes all about the concept concept and then bringing everything together. ... | corpus/salon-068.md: ... much of what we take today as like the concept concept of zero came from elsewhere.  And in th...
keep,2,"corpus/salon-033.md: ...ame time yeah that's yeah you'd have to keep keep flipping between built-in and headphone... | corpus/salon-054.md: ...NFt4AfP-aRA&t=3716s)  Yes, I'm going to keep keep on playing. See what happens.  ## Davon..."
take,2,"corpus/salon-034.md: .... Established with NFTs.  Like, I mean, take take take what we've done with barcodes. Bar... | corpus/salon-052.md: ...re dealing with all kinds of ideas that take Take time. And that you have to build upon i..."
interesting,2,corpus/salon-034.md: ... fluctuates so it's yeah well that's an interesting interesting property of nfts is the authentication ... | corpus/salon-051.md: ...watch?v=xTm1wXYzdCI&t=5527s)  That's an interesting interesting element but no oh but cynthia I saw you...
anybody,2,corpus/salon-037.md: ... some of my nft screens experience does anybody anybody interested sure sure sure yeah I went q... | corpus/salon-054.md: ...I wanted to let me see another hands up anybody anybody at all or I could start picking people ...
used,2,"corpus/salon-037.md: ... that, you know, Chuck Close and I both used used that and there are a couple other ones ... | corpus/salon-097.md: ... you have you looked at the artists who used used you know painting in their you know in ..."
human,2,"corpus/salon-038.md: ...ory of the wires and the fact that this human human energy starts inside the body with this... | corpus/salon-054.md: ...rs there. But here where, you know, the human human element is so high. You're there togeth..."
unless,2,"corpus/salon-038.md: ... come off mute? I know you have a voice unless unless you're voice shy these days.  Hi. Hi. I... | corpus/salon-040.md: ...mmodate this, the one thing is, is that unless unless you're talking about like Cynthia wanti..."
before,2,corpus/salon-041.md: ...t would deal with the hurricane katrina before before I was where I pasted stuff onto the can... | corpus/salon-076.md: ...e next thing that we were talking about before before the salon started was we were mentionin...
make,2,"corpus/salon-043.md: ...ppened that women in attack. He even he make make fun of me that in front of a lot of inv... | corpus/salon-081.md: ...ally Push and ecow, and. You know. Just make make something that I'm sort of happy with. ..."
throughout,2,"corpus/salon-046.md: ...lly they're doing projections and sound throughout throughout the space. So we're dedicating entire r... | corpus/salon-079.md: ...e, the actual neighborhoods throughout. Throughout throughout Tokyo. So again, it's sort of the large..."
everything,2,"corpus/salon-046.md: ...mazing amazing help in this project and everything everything else doesn't need to be said so thank y... | corpus/salon-091.md: ...free. We're an artist run organization, everything everything that happens here is volunteer based. S..."
it'll,2,"corpus/salon-046.md: ...ith, you know, the publication. I think it'll it'll be a nice, you know, note to posterity ... | corpus/salon-077.md: ...l know that you're on the wall, because it'll it'll tell you. It's you know it's the wall, ..."
still,2,corpus/salon-047.md: ...nsory understanding of our bodies we're still still playing what are we doing right now whe... | corpus/salon-087.md: ...'t know how to do it he said no you can still still participate so I'm delighted to so I ke...
blah,2,"corpus/salon-049.md: ...re during this show across Long Island, blah blah blah. And she's like all, you know, oh ... | corpus/salon-066.md: ...at I've been thinking about because the blah blah blah anyway but I see michael kind of n..."
without,2,"corpus/salon-049.md: ...ould have never gotten as far as I have without without collective power, really, to tell you t... | corpus/salon-055.md: ...ing some sense of integrity in the work without without going to you know some are better than ..."
generative,2,"corpus/salon-051.md: ... just mid journey. I've been working in generative generative and algorithmic art and that sort of th... | corpus/salon-073.md: ...d Vera Molnar, who's the trailblazer of generative generative art, and she's certainly a computer art..."
dream,2,"corpus/salon-057.md: ... the news and there was the world chaos dream dream looking right at me, you know, as peopl... | corpus/salon-058.md: ...g a piece. More exploring a dream state dream dream dream like quality, using, using this d..."
painting,2,"corpus/salon-059.md: ... right you know painters you know right painting painting the nature of painting shifted because ... | corpus/salon-106.md: ...nting, I have a change. I exchange with painting painting tell me something I said okay but I pre..."
vr,2,corpus/salon-060.md: ...res and I don't remember the details of vr vr chat and I didn't even know that there ... | corpus/salon-086.md: ...rd place. And that's where Google Earth VR VR is. Sort of like now become just a meta...
two,2,corpus/salon-065.md: ...ah that's like actually you should have two two race groups to belong to instead of you... | corpus/salon-076.md: ...it's really cool the idea of like every two two months or every six weeks or every thre...
s,2,"corpus/salon-067.md: ...l.  Okay. There's a woman on Sheila. It's S-C-H-I-E-L-E. Oh, Sheila. He died very y... | corpus/salon-071.md: ...in the he's in the artist index. But it's S.Y.S. T.A.I. M.E. And. Colin, this is th..."
dash,2,corpus/salon-068.md: ...e things that I've added like if you do dash dash ar it's aspect ratio so you could say l... | corpus/salon-068.md: ...it's aspect ratio so you could say like dash dash ar 16 colon 9 and a lot that'll give yo...
nice,2,corpus/salon-069.md: ...ull out of it yeah what's monochromatic nice nice merging of science and art I love it ye... | corpus/salon-076.md: ...C64 games while while at Coleco so yeah nice nice what games were you working on at that ...
around,2,corpus/salon-078.md: ... in the schools that kids actually like around around Texas poetry. And if they can be my hat... | corpus/salon-082.md: ...Mostly. I'm manipulating the background around around the faces.  And I did a series of anima...
super,2,"corpus/salon-082.md: ...und, and that infuriated him, he became super super angry, even more angry than he already ... | corpus/salon-082.md: ... see you guys are gonna kill me. He was super super angry about the light. In a more innoce..."
cha,2,"corpus/salon-084.md: ...nks, Roz. I was not planning on it.  ## cha cha [02:17](https://www.youtube.com/watch?v... | corpus/salon-084.md: ...ople to see what artists are doing.  ## cha cha [06:07](https://www.youtube.com/watch?v..."
having,2,"corpus/salon-084.md: ...e. Sorry The idea of A picture.  There! Having having a particular like, almost like a stage.... | corpus/salon-084.md: ...atever it is, you know what I mean. And Having having gelled those 2 things together, kind of..."
works,1,corpus/interview-001.md: ... an influence on my painting style. The works works behind me are a couple paintings in pro...
fairly,1,corpus/interview-001.md: ...ld say like you know the influences are fairly fairly diverse you know and certainly at you k...
mark,1,"corpus/interview-001.md: ...a gesture that is, I'll make a gestural mark mark on the tablet and then rotate it in 3D ..."
