session,candidate_name,matched_text,similarity,context,cue_start
salon-045,Giovanna Sun,giovanna,0.8, okay okay yeah that's my presentation today okay thank you giovanna and if there is a link that you could share in the chat too,7.03
salon-046,Andy Thomas,and stomas,0.86,ot nine piece work and it also has incisions and sutures as and stomas as he has he is currently recovering from throat cancer and,2.55
salon-046,Margaret Dolinsky,margaret dewinsky,0.88,nists who isn't very often here very often is participating margaret dewinsky she's here we'll talk about her her work and she's going to,2.55
salon-046,Christine Sciulli,christine shuli,0.88,self patrick steve miller Joseph Nechvatal felix rothschild christine shuli and anne spalter so very pleased with the you know the publ,2.55
salon-046,Giovanna Sun,giovanna,0.8,ets really interesting so that's it so i don't know whether giovanna is a robot or not but you know hope not let's see here let',2.55
salon-047,Susan Huang,susan has,0.8,oo after this so thank you for your presentation looks like susan has her hand raised so Susan Detroy i have at it thank you okay,6.79
salon-047,Roman Verostko,roman vrosko's,0.86,l and she's 90 92 98. 98 you know bravo you know and so and roman vrosko's 93 and you know and so i guess what i'm saying is is that t,6.79
salon-048,Patrick Lichty,patrick litke,0.81, know you victor when you had your discussion with pat with patrick litke patrick was talking about the generative adversarial networ,7.03
salon-049,Michael Rees,michael reese's,0.89,d of like in in in her you know where she's going and maybe michael reese's piece you know in other words these things that you know th,5.51
salon-049,Giovanna Sun,giovanna,0.8,ou have the energy looking into sun gen lee are you here is giovanna here she also knows about this anyway so if it could happen,5.51
salon-050,Giovanna Sun,giovanna,0.8,ated in there was a panel hamptons tech week that tommy and giovanna and paul miller participated in as artists and it was moder,6.07
salon-050,Gregory Little,greg little,0.88,lab and ever since it's gone to something else and actually greg little curated a show that i was in in those days of photographing,6.07
salon-051,Frédéric Pons,frederick pons,0.81,uced to mid journey by my friend and fellow tech specialist frederick pons and since a lot of my digital work revolves around visions ,5.67
salon-051,Michael Pointer,michael one,0.85,th here and then these are the very final ones so thank you michael one one thing that i'm always really impressed by is how much y,5.67
salon-051,Anne Spalter,ann spalter's,0.88,f valid usages for it and and i did you know take notice of ann spalter's recent collection of ai spaceships which you know i thought,5.67
salon-052,Lee Day,live day,0.8,is work and his art that the the world in which we normally live day to day and the world in which we still talk about today is ,5.67
salon-054,Andy Wauman,and human,0.8,so that in the end there's sort of a balance of both nature and human invention rather than human invention taking over okay cool,5.87
salon-055,Andrea Bonaceto,Andrea bonaccato,0.9,t was really one of the artists who started coming early on Andrea bonaccato who you know he was the person who sort of he was minting s,6.05
salon-055,Michael Rees,Michael Price's,0.81,aughter] all right the next up we have Corey I think that's Michael Price's friend correct yeah yep yeah so I was hanging out at of cou,6.05
salon-055,Mich Palmer,much calmer,0.82,ted access to the General Public so the discussion level is much calmer much cooler than it was when action painting and pop art ca,6.05
salon-055,Giovanna Sun,Giovanna,0.8,e like based off of it I'm just going to reverse order what Giovanna was talking about imagine with art or with music if you did,6.05
salon-056,Marlow Shami,Marlow,0.67,resting variety of work there that you shared and let's see Marlow is up next hi everyone I have a very short keynote I'm goin,6.05
salon-057,Patrick Lichty,Patrick,0.67,s definitely going through some stuff at that time I'm sure Patrick can attest to that he was he was right right there with me ,5.21
salon-057,Richard E,Richards,0.82, day and that was really crazy and then also was it Michael Richards who was in the residency he didn't get out he just did not ,5.21
salon-059,Patrick Lichty,Patrick,0.67,al in some regards but there's been no so you know I I hear Patrick and and my my concerns you know I think so far everybody's ,5.63
salon-060,Michael Strevens,Michael Reese,0.83, it's not in at all no it's actually a bigger shot with the Michael Reese am I saying the same correctly you know the sculptural righ,5.03
salon-060,Giovanna Sun,Giovanna,0.8,ll a couple people together and do a physical show you know Giovanna did that with the Brooklyn show and that happened really qu,5.03
salon-060,Gregory Little,Greg Little,0.88,on VR I know Patrick is is fairly involved with VR stuff to Greg Little but I think it would be really interesting to organize like,5.03
salon-061,Michael Farmer,Michael Warner,0.86,xt artist up is Michael that's me yeah Michael or the other Michael Warner oh okay well I'm zooming in from Bayshore Long Island I'm a,9.29
salon-062,Richard E,Richard,0.88,ed the rasta paintings and this artist Patrick carryou sued Richard he won the first round he lost the second round but I've be,5.39
salon-063,Susan Huang,Susan shutan,0.87,ho you're around is really important another friend of mine Susan shutan makes shaped they're not the one on the right it's not actu,5.51
salon-063,Michael Farmer,Michael after,0.81,n Colin Goldberg are there any people who'd like to present Michael after Colin thank you and I guess that will probably take us an h,5.51
salon-063,Michael Rees,Michael peer,0.83, [Music] program and just the other day I was speaking with Michael peer price and he mentioned how the word nft has in a way become,5.51
salon-063,Carla Gannis,Carla ganis's,0.88, will be and to obtain all the information you simply go to Carla ganis's Instagram page and she came to a couple of our meetings she,5.51
salon-064,Chalda Maloff,chalda,0.63,e whole layer idea so thank you yeah thank you awesome okay chalda is next I'm in Austin Texas and like some of these others I,7.43
salon-065,Robert A. Ripps,Robert trips,0.81,nd to remind the people on social media I think his name is Robert trips and he always ends his comments with you know peace in Ukra,5.63
salon-066,Sherry Karver,Sherry,0.63,k you have a great day enjoy your watch thank you all right Sherry hi everybody I wasn't even planning and sharing but in hear,5.63
salon-066,Anne Spalter,and spalter,0.87,e sold entire collections yes I want to say what's her name and spalter yes and Jesus Christ and is making probably several killing,5.63
salon-066,Giovanna Sun,Giovanna,0.8,ago I kind of came into nfts and that's how I met Colin and Giovanna and a few people on this you know on on this zoom and what ,5.63
salon-067,Andy Thomas,Andy that,0.8,t celebrate they said oh that's wonderful we agree with you Andy that looks great but Disney on the other hand attacked every sin,5.63
salon-068,Giovanna Sun,Giovanna,0.8,yone else have any anything to bring up about appropriation Giovanna I I just killed Ridge because I I heard like several times ,3.17
salon-069,Chalda Maloff,called Major,0.64,ipulated it in procreate this other one has a spatial theme called Major Tom to Ground Control this is a photograph of a shingle on ,6.29
salon-071,Eva Davidova,Eva David,0.86,n New York both of them have like liked expressionist stuff Eva David zwerner which I was very surprised about and pleased with s,5.99
salon-071,Anne Spalter,and spaulter,0.83,ordon Patrick lichty DJ Spooky Steve Miller Joseph mcvittal and spaulter and Sasha Stiles and if anyone else in here has any books t,5.99
salon-072,Stephen Paré,Stephen Pare,0.92,u don't have to share it all you could just join so Stephen Stephen Pare is that right am I yeah it's paray thank you all right I ap,2.15
salon-073,Lee Schnaiberg,Lee schneiberg's,0.87,ave a minute left also today we're going to experiment with Lee schneiberg's suggestion that at the end of each presentation you can unm,7.01
salon-073,Michael Pointer,Michael one,0.85,t's a Thursday at 12 noon Eastern Time thank you Renata and Michael one other thing I wanted to mention is art on the internet AOL ,7.01
salon-074,Anton MCHX,Anton,0.67,st I'd like to introduce myself a little bit I'm my name is Anton I'm a digital artist I was born in Kazakhstan I was living ,7.67
salon-074,M.Romeo - Night Shining,Mike Romeo Knight shining,0.83, work that I'm planning on asking to be on the show this is Mike Romeo Knight shining eat a sculpture I'd like to have some physical pieces I kno,7.67
salon-074,Michael Rees,Michael Lee,0.87,ve you the names of the five topics they'll be explained by Michael Lee after I finish so the first would be tutorials the second O,7.67
salon-074,Seungjin Lee,sanjin Lee,0.82,ry nice walls really so I'm working with sung Jin here I am sanjin Lee who runs the digiana studio oh here's an elevated view in L,7.67
salon-074,Giovanna Sun,Giovanna son,0.92,2024 show in the summer that I'm working with sudden gently Giovanna son co-curating already wow wow I like the idea like that one o,7.67
salon-075,Patrick Lichty,Patrick licky,0.89,erview with Helen Harrison of the pollic house recently and Patrick licky sort of came up with this idea of TCH expressionism being c,8.23
salon-075,Beth Giacummo,Beth gumo,0.82,e put out for her on Instagram and Facebook as well is that Beth gumo that's still the point person there so she's a really good ,8.23
salon-076,Sue Beyer,Sue buer,0.82,s that was in the the expressionism digital and Beyond show Sue buer who's from Australia when I was looking at a lot of her wor,7.11
salon-076,David Mew,did me,0.8,reaky no hands I think rata has her hand up oh hey so Apple did me a big favor when they put out iOS 17 I've been in the habit,7.11
salon-076,Patrick Lichty,Patrick liy,0.88,fairly recent because of the depth I remember some time ago Patrick liy was doing an awful lot of these and he said he was doing th,7.11
salon-076,Data_m0sh,datamash,0.82,log whereas a lot of glitch world is software you know like datamash like what's it photoos photoos is probably a popular softwa,7.11
salon-077,Colin Goldberg,Colleen Goldberg,0.87,"Hello! My name is Colleen Goldberg, and I am here. At the seventy-seventh rush and salon",3.06
salon-077,Frank Gillette,Frank Chillette,0.9,"e in the nineties. Her husband is also very storied artist, Frank Chillette, who worked with Martian clue, and is one of the people tha",1815.88
salon-077,Steve Miller,"smaller,",0.63,"and and, you know, make a smaller, a slightly smaller image. So it doesn't exceed",7493.66
salon-077,Judith Jacobs,Judy Jacobs,0.83,"And I've been working. I've been working on this along with Judy Jacobs, put a lot of time into trying to figure it out so II haven",9824.14
salon-077,Cynthia Beth Rubin,"Cynthia, Beth Ruben",0.92,"ntially, just for this one week. Co-OP the the Co. Working. Cynthia, Beth Ruben.",10683.95
salon-078,Sherry Karver,she gave,0.67,You're the nurse who always sang when she gave you an injection bent to my eye level and said. Can you do ,1434.57
salon-078,Sherry Karver,see Karen,0.64,"Yeah, I have. II see. I see Karen at the end of it just real quick, because I actually have b",4525.43
salon-078,Frank Gillette,Frank Chillett,0.86,ce the South and show. I think the last one might have been Frank Chillett.,5456.35
salon-079,Judith Jacobs,Judy Jacobs,0.83,'re already chaotic. But adding the panel to them. And then Judy Jacobs taught me about Jeff Kamelli.,2455.79
salon-079,Lee Day,like any,0.67,fe. And I don't know if carrying wants to hop in here looks like any of the construction is done. I don't wanna take time away f,4971.9
salon-080,Carrie MaKenna,Carrie Anne,0.8,"h that little introduction, I'm going to ask either Joey or Carrie Anne to speak. Please",1451.45
salon-080,Carrie MaKenna,Carrie Anne,0.8,"by Carrie Anne, and they currently have an exhibition on right now called ",2293.55
salon-080,Cynthia Beth Rubin,"Cynthia, Beth Reuben",0.89,"Thank you very much. We have Cynthia, Beth Reuben next, and then Ross has her hand up after Cynthia.",5075.82
salon-081,Lee Schnaiberg,Lee Schneider,0.81,Lee Schneider is actually,1309.35
salon-081,Tommy Mintz,to print,0.63," client computer and also on my laptop, which is what I use to print from. I I share using Apple's. I'm service. I call my deskt",1426.9
salon-081,Patrick Lichty,Patrick Licktie,0.83,"ow the longer that this goes on, and this is something that Patrick Licktie had kind of emphasized",5067.88
salon-083,Roman Verostko,Roman Verasco,0.81,"t in the context of this group, particularly by the name of Roman Verasco.",739.78
salon-083,Ann Shapiro,and Shapiro,0.91,"you know there were. I had 2 painting professors, Hippolito and Shapiro and Shapiro said to us.",4044.55
salon-083,Ann Shapiro,and Shapiro,0.91,"have the brains to be a dentist you should go. Be a dentist and Shapiro said. If you want to be an artist, you know, I suggest that",4052.4
salon-083,Cynthia Beth Rubin,"Cynthia Bath, Rubin",0.92,"Co. Working is influential. Since Cynthia Bath, Rubin suggested that I use",4123.25
salon-083,Tommy Mintz,Tommy Mince,0.82,"ion. Which is gonna be happening in August. It's curated by Tommy Mince, who's been involved with the text presents community for s",4481.61
salon-083,Tommy Mintz,Tommy Mints,0.91,"the curator is Tommy Mints, MINT z.",4965.62
salon-084,Tommy Mintz,Tommy Mintz's,0.92,"ition of Texianism work. That exhibition is going to follow Tommy Mintz's work, and we have an open call. All that will be available ",52.67
salon-085,Sahar Moussavi,Sam Rusavi,0.67,"So Hi, everyone, I'm Sam Rusavi.",1134.76
salon-085,Verneda Lights,very bright,0.64,"And some very bright, colorful light show done with lasers",1807.31
salon-085,Michael Pierre Price,Michael Pierre Bryce,0.9,I think Michael has a question. Michael Pierre Bryce.,5286.11
salon-086,Renata Janiszewska,rata yanisha,0.67,irst day of classes today for Kingsboro college and and I'm rata yanisha coming to you from lion's head in Canada Tommy curated the ,9.03
salon-086,Malavika Mandal Andrew,maliva Mandall and,0.8,was living through I think in k tell me if I'm wrong please maliva Mandall and Brandon gellis have these lovely interpretations of Nature ,9.03
salon-086,Mary Ann Strandell,Mary and strand,0.85,color as a formative you know generative object if you will Mary and strand D's lenticular image which I'm not sure if you're going to ,9.03
salon-086,Andy Thomas,and tomao,0.8,ere finally my sculpture that was in the show this is tomao and tomao is an inflatable sculpture and I'm interested in working I',9.03
salon-086,Lee Schnaiberg,Lee schneberg,0.89, print and painting on digital print on canvas here next to Lee schneberg and his digital photographic glitching with his iPhone brus,9.03
salon-086,Moritz Albrecht,Moritz alre,0.85,ancine levenson is underneath Roy Nicholson there and above Moritz alre work here right once again we have the texture think about ,9.03
salon-086,Ben Red,be read,0.86,d working on some images that might might have been able to be read but I I decided against that I wanted the the scroll to be ,9.03
salon-086,Michael Pointer,Michael Pier,0.89,rats to you all thank you thanks so I'm going to move on to Michael Pier price coming to us from Phoenix Arizona where it's extremel,9.03
salon-086,Michael Rees,Michael Reese's,0.89,orientation there's our tomao right up front and we do have Michael Reese's sculpture here up front and a front table with that's Carla,9.03
salon-086,Carter Hodgkin,Carter hodskins,0.9,'t think what's Carter's last thank you thank you thank you Carter hodskins on it as well thank you it's been a long day already we hav,9.03
salon-086,Seungjin Lee,sunin Le,0.8,ch happens to be the second largest piece in the show after sunin Le can I get this all in the frame 13 foot by 13 put digital a,9.03
salon-086,Francene Levinson,Francine levenson,0.88, really enjoyed how those two Works paired with one another Francine levenson is underneath Roy Nicholson there and above Moritz alre wor,9.03
salon-086,Stephen Paré,Steven par,0.82,uerto Rican artists yes yes and and then we have a print by Steven par above work by what do we have here we have Lee Musgrave act,9.03
salon-086,Meltdownlove,meltdown,0.8, Miller and ra I'm sorry Oz van Rosen and it's like we have meltdown love and Colin you're gonna have to help me with some of th,9.03
salon-087,cari ann shim sham*,Carrie Ann Shimsham,0.89,Carrie Ann Shimsham and Joey Zaza,40.53
salon-087,Adrianne Wortzel,Adrian Wartzel,0.87,cari ann shim sham**: Night swatch by Adrian Wartzel.,1575.46
salon-087,Annette Weintraub,Annette Wingtrub,0.91,"im sham**: Ghosted artifacts, zigzags, twists, and turns by Annette Wingtrub.",1614.97
salon-087,Sherry Karver,Sherry Carter,0.85,cari ann shim sham**: Thank you. Sherry Carter. Thank you. Sherry. Wonderful series.,2172.51
salon-087,Karen LaFleur,"Karen, Lefleur",0.89,"cari ann shim sham**: Karen, Lefleur, Fanwaves.",2824.81
salon-087,Cynthia Beth Rubin,Cynthia Beth Ribbon,0.86,"cari ann shim sham**: our other Cynthia, Cynthia Beth Ribbon.",4253.93
salon-087,Carrie MaKenna,"Carrie, Ann",0.8,"rom the 23 pieces in the book by the exhibition's curators, Carrie, Ann and Joey.",6775.71
salon-087,Adelfino Corino,Adelfina Perino,0.8,cari ann shim sham**: Adelfina Perino.,7206.29
salon-087,Galina Shevchenko,Galina Schveenko,0.85,"cari ann shim sham**: bye, Galina Schveenko! Hi!",7393.83
salon-088,Renata Janiszewska,"Renata, Yanaszewska",0.86,"e up with ideas for that. The December salon is going to be Renata, Yanaszewska, and Karen Lafleur introducing Mariniana, which is their ex",4755.79
salon-090,Steve Miller,see me,0.67,"nsions, and I can show you what I mean. Can you see you can see me right, because I can't see me.",4349.78
salon-090,Steve Miller,see me,0.67,"Oh, yeah, I see me. Okay, so this is something really flat. And this is very s",4379.4
salon-091,Simone Gad,since grad,0.8,he late mid to late 1980s and in the 1980s as I'd been like since grad school work I worked with ornament and Architectural imager,5.83
salon-091,David Mew,David M,0.88,as a very much of historic show and that had Frank Dietrich David M had a great impact on me and I watched went to to see a lec,5.83
salon-091,Karen LaFleur,Karen laflor,0.88,this weekend rata it's a two-person show with Rady anfa and Karen laflor which you know is an incredible piece of video art and then,5.83
salon-092,Systaime,systems,0.67,"without further ado, I am going to share my screen and play systems, video, which is about 7 and a half minutes. So",1249.57
salon-092,Andy Wauman,and human,0.8,"the use of AI in art has sparked debates about authenticity and human intention. I believe art is defined by its ideas, messages,",1396.26
salon-092,Cynthia Beth Rubin,"Cynthia Rubin,",0.84,"is to see people come together from all over the world. And Cynthia Rubin, who helped, you know, implement these captions actually org",3986.13
salon-092,Systaime,sustain,0.67,e artists that are presenting. But I do have a question for sustain. In your presentation you mentioned that AI involves collag,4919.64
salon-092,Systaime,sustain,0.67,"True, however, I think, sustain mentioned that he cuts out if I and he can correct me, he c",5066.81
salon-092,Renata Janiszewska,"Renata, Yanashewska",0.81,"hey hosted an exhibition of 2 Techspressionist artists work Renata, Yanashewska, and Karen Lafleur. So this next salon is going to be takin",5509.52
salon-093,Renata Janiszewska,Renada Yanaszewska,0.83,"d between Cape Cod based Karen, Lafleur, and Canadian-based Renada Yanaszewska, Titled Mariniana.",157.08
salon-093,Renata Janiszewska,Renata Yanniszewska,0.92,"Hello! I'm Renata Yanniszewska, and I'm very happy to be here. Thank you, Benton, and than",2212.47
salon-093,Allen Hirsh,Alan Hirsch,0.82,"ol from zoom, that would be great. And I see I'm gonna pick Alan Hirsch first, st",4925.03
salon-094,Renata Janiszewska,"Renada, Yanaszewska",0.81,"rk is featured alongside and commissioned pieces by artists Renada, Yanaszewska, Karen LaFleur, and Jan Swinburne.",40.48
salon-094,Renata Janiszewska,Renadi Anisewska,0.82,"to gain visibility to the group and our Instagram, Curator, Renadi Anisewska.",614.55
salon-094,Darcy Gerbarg,Darcy Gabar,0.83,people showing up. Darcy Gabar has a beautiful augmented reality. Sculpture here that Sung,1135.6
salon-094,Renata Janiszewska,Renata Yanashewska,0.83,"And now I'd like to pass the mic on to Renata Yanashewska, who's our next artist presenter, and Renata is going to be",3159.11
salon-095,Tommy Mintz,Tony Mintz,0.86,"By the way, this is Tony Mintz. Most of you know him, but he's the curator of this show.",202.37
salon-095,Patrick Lichty,Patrick Linty,0.89," for as a studio assistant when I was an undergraduate, and Patrick Linty, who I met in graduate school. We were both doing our mfas ",1106.58
