count,matched_text,candidate_name,similarity,session_count,sessions,likely_noise,example_context
8,patrick litke,Patrick Lichty,0.81,1,salon-048,, know you victor when you had your discussion with pat with patrick litke patrick was talking about the generative adversarial networ
8,michael one,Michael Pointer,0.85,2,salon-051;salon-073,,th here and then these are the very final ones so thank you michael one one thing that i'm always really impressed by is how much y
8,Stephen Pare,Stephen Paré,0.92,2,salon-072;salon-108,,u don't have to share it all you could just join so Stephen Stephen Pare is that right am I yeah it's paray thank you all right I ap
8,Anton,Anton MCHX,0.67,1,salon-074,,st I'd like to introduce myself a little bit I'm my name is Anton I'm a digital artist I was born in Kazakhstan I was living 
8,Patrick liy,Patrick Lichty,0.88,1,salon-076,,fairly recent because of the depth I remember some time ago Patrick liy was doing an awful lot of these and he said he was doing th
8,see me,Steve Miller,0.67,1,salon-090,,"nsions, and I can show you what I mean. Can you see you can see me right, because I can't see me."
8,been fed,Ben Red,0.8,1,salon-103,,"Then the AI analyzes what has been fed, and it learns patterns, like what cat, sunset, or in the s"
8,to paint,Tommy Mintz,0.63,4,salon-056;salon-061;salon-064;salon-109,,"Amiga artist, Jack Hager, to sit in with him. Are you ready to paint me? Yeah. Ladies and gentlemen, I'm here tonight to help as"
8,any human,Andy Wauman,0.8,2,interview-007;interview-025,,to become integrated so science and math has its voibles as any human endeavor a new areas that break new ground take a while to 
8,read here,Reed Hearne,0.8,2,interview-011;presentation-006,, sensed that it's the next you know title that i'm going to read here let's see let's yeah i'm not dumpsters and clowns okay i'm 
8,patrick right,Patrick Lichty,0.81,1,interview-021,,ronicities and i think i it was fascinating to to bump into patrick right before we started our session because i know i met patrick 
8,can see,Carmen Moses,0.63,1,salon-009,,very if everyone could put a thumbs up that'd be great so i can see that everyone knows kind of how to do it nice beautiful all
7,michael came,Michael Farmer,0.85,2,salon-040;salon-100,,lly develop it as far as they can like the way that roz and michael came up with this handshake concept or whatever else and you kno
6,randy matashevitz,Randi Matushevitz,0.88,2,salon-011;salon-108,,s randy so hold on good to see you still there randy hi i'm randy matashevitz i'm very new to the group but this is my second meeting i c
6,Deann Stein Hasinoff,Deann S Hasinoff,0.89,1,salon-014,,ity today we have presenting susan detroi Sherry Karver and Deann Stein Hasinoff hall hassan off i think i said that correctly i hope i did 
6,tommy mintz's,Tommy Mintz,0.92,2,salon-017;salon-084,,timonial about the the value of this is recently like i saw tommy mintz's work that he showed with his photography and the what he cr
6,be ruled,Ben Red,0.8,2,interview-029;salon-028,,ant to do different things i just break out i don't like to be ruled too much by too many strict rules but i do start out with t
6,lindsay,LINDSAY KOKOSKA,0.64,1,salon-033,,s colin who coined the term to expressionism nina david and lindsay are presenters for today and our wonderful audience of othe
6,Richards,Richard E,0.82,2,interview-002;salon-057,, day and that was really crazy and then also was it Michael Richards who was in the residency he didn't get out he just did not 
6,Sherry,Sherry Karver,0.63,2,salon-014;salon-066,,k you have a great day enjoy your watch thank you all right Sherry hi everybody I wasn't even planning and sharing but in hear
6,and spaulter,Anne Spalter,0.83,2,roundtable-001;salon-071,,ordon Patrick lichty DJ Spooky Steve Miller Joseph mcvittal and spaulter and Sasha Stiles and if anyone else in here has any books t
6,Lee schneiberg's,Lee Schnaiberg,0.87,1,salon-073,,ave a minute left also today we're going to experiment with Lee schneiberg's suggestion that at the end of each presentation you can unm
6,very bright,Verneda Lights,0.64,2,interview-025;salon-085,,"And some very bright, colorful light show done with lasers"
6,since grad,Simone Gad,0.8,2,salon-091;salon-105,,he late mid to late 1980s and in the 1980s as I'd been like since grad school work I worked with ornament and Architectural imager
6,systems,Systaime,0.67,2,salon-092;salon-106,,"without further ado, I am going to share my screen and play systems, video, which is about 7 and a half minutes. So"
6,Patrick Linty,Patrick Lichty,0.89,1,salon-095,," for as a studio assistant when I was an undergraduate, and Patrick Linty, who I met in graduate school. We were both doing our mfas "
6,even,eegun,0.67,1,salon-096,,hysics and neuroscience. Some theories of consciousness and even elements of Buddhism and several different indigenous belie
6,Egan,eegun,0.67,1,salon-096,,"Egan is an Istanbul based artist, generative artist, and he uses"
6,and his,Allen Hirsh,0.67,1,salon-097,,"ot a big fan of the present President of the United States, and his"
6,"Chris,",Chris Bly,0.71,1,salon-097,,"I have a very brief question for Chris, and then a general question for the 3 artists. For Chris."
6,Stephen Paray,Stephen Paré,0.88,2,salon-106;salon-108,,"come, everybody, to this salon, which, I am co-hosting with Stephen Paray. We're really happy to bring"
6,ann spalder,Anne Spalter,0.87,2,interview-006;salon-051,,y platform project and you know this is also something that ann spalder is working with and Carla Gannis and and so the thing is is
5,and share,Ann Shapiro,0.7,2,presentation-001;salon-098,,"anyone else in the Zoom to jump in and share some work, that, you know, might be relevant to the topic, "
4,malavika i'm an,Malavika Mandal Andrew,0.7,1,salon-008,,t it okay so i'll try one more time thank you so my name is malavika i'm an artist and my main education is in textile designing i did 
4,emily bruton-schilling,Emily B. Schilling,0.8,1,salon-008,,is in here emily would you like to present hi everybody i'm emily bruton-schilling and i'm here from new york city and very excited to be here
4,an alter,Anne Spalter,0.8,1,salon-008,,ke collaboratively that if there's a space that you know if an alter an alternate space other than coons matrix for all of the f
4,brandon gallis,Brandon S Gellis,0.87,1,salon-009,, thank you gregory all right moving down the list we've got brandon gallis hi yes thank you and thanks for not butchering my last name
4,roman vorosco,Roman Verostko,0.81,1,salon-009,, that really split is that when i started working with what roman vorosco an artist inven in minneapolis would call algorithm in othe
4,and michael spalter,Anne Morgan Spalter,0.68,1,salon-010,,utiful work and the traditional art world really hated them and michael spalter who is a did an art history major at brown said wow this is
4,mate bakula,Matej Vakula,0.87,1,salon-011,,old on all right there we go i hope it works now my name is mate bakula i'm an artist and also i i'm finishing now my phd at rensse
4,vernetta lights,Verneda Lights,0.9,1,salon-012,, they surrounded in plastic for protection i think that was vernetta lights right and so the real world correlate i can you can you be 
4,michael pierce,Michael Pierre Price,0.82,1,salon-013,, of you younger ones coming in here now it's something that michael pierce and i talked about pierre price have talked about as well b
4,michael pierce,Michael Pointer,0.83,1,salon-013,, of you younger ones coming in here now it's something that michael pierce and i talked about pierre price have talked about as well b
4,sue buyer,Sue Beyer,0.89,1,salon-014,,hundred pieces after you paid the initial gas fee thanks to sue buyer she actually let let us know about that you know so i jumpe
4,andrea bonaccito,Andrea Bonaceto,0.9,1,salon-014,,t about it next next time we have i believe it's so we have andrea bonaccito yeah yeah so lineup andrea actually if you guys hadn't hear
4,brandon gillis,Brandon S Gellis,0.87,1,salon-015,,oing to be passing the torch of the exhibition installer to brandon gillis for that that particular installation of the this project h
4,ann svalter,Anne Spalter,0.87,1,salon-015,,recently talking with people a little bit i remember asking ann svalter about this with working with ai and and recently listening 
4,column one,Colman Jones,0.82,1,salon-016,, know i think that's i think it's perfectly fine one of the column one of the i was watching a a youtube video the other day it wa
4,michael another,Michael Pointer,0.8,1,salon-020,,ten thousand women thank you oh and we have a question from michael another question like had one chat but he also has something to say
4,rebecca tombo,Rebecca Tombaugh,0.83,1,salon-023,,rtists including two that are presenting today it should be rebecca tombo and cynthia oh god i don't want to butcher your last name d
4,john lean,John Zieman,0.8,1,salon-024,,ll the way back to the iphone 4 and and there's a filmmaker john lean and there's a couple of photographers everybody's got their
4,brandon gallus,Brandon S Gellis,0.8,1,salon-025,,alavika and ryan henderson and then we have a negin and and brandon gallus or jealous ellis i think ellis yep and then darcy who just 
4,caro ramonde,Carolina Ramonde,0.86,1,salon-025,,nother pairing and then michael pointer is also paired with caro ramonde so there's six pairs all together and each pairing produced
4,mac problem,Mac Premo,0.8,1,salon-025,,s i won't be first okay all right that's that's fine it's a mac problem or a mac security issue i'm i'm ready to i'm cute yeah you 
4,carol ramonde,Carolina Ramonde,0.9,1,salon-026,,lose to my middle name because my real name is ramon but so carol ramonde yeah and michael so what do you who wants to speak first go
4,and preach,Andrew Reach,0.82,1,salon-026,,hich christ tells his disciples to go ye into all the world and preach the gospel okay to spread the message and the good news of 
4,sean mc,Sean Mick,0.88,1,salon-029,,guess wants to go if you want to pull his his work up maybe sean mc correct yep all right that's the one the ones that has anim
4,alan kennard,Alan Kinnard,0.92,1,salon-029,,ue because i i forgot that we had two so sorry all right so alan kennard i'm here thanks davo all right this piece is part of a seri
4,red team,RnD Team,0.88,1,salon-030,,is painting and then it was actually a very like orange and red team based artwork and then last minute i added color correction
4,giovanna stuff,Giovanna Sun,0.85,1,salon-031,,lly only have 30 minutes left and i know we need to get the giovanna stuff but i'll try to get through these really quick try to highl
4,be fired,Ben Red,0.8,1,salon-032,,gital the guns often want to be in check they don't want to be fired i feel when i'm doing them there's some sort of wrestling m
4,michael earlier,Michael Farmer,0.83,1,salon-034,,ations today has been about nfts and our nfts in art i know michael earlier you had you said you had something that you were potentiall
4,giovanna's son,Giovanna Sun,0.85,1,salon-034,,bout the how did you find out about the salon i am i follow giovanna's son on clubhouse and we've been in a few rooms together and i s
4,michael earlier,Michael Roller,0.83,1,salon-034,,ations today has been about nfts and our nfts in art i know michael earlier you had you said you had something that you were potentiall
4,prince magnolia,Prïnce Magnølïa,0.8,1,salon-035,,rst artist and then we have a pair of collaborating artists prince magnolia and st rivera and then rounding out our salon today is Mich
4,patrick,PATRICK LICHTY,0.67,1,salon-037,,ts well my cake is pretty baked okay thanks great all right patrick i know we're at 705 so we're a couple of minutes over over 
4,been re,Ben Red,0.86,2,salon-037;salon-086,, actually created in the midst of an insomnia bout and it's been re it's a fractal recreated manipulated and recreated again wi
4,andy thomas's,Andy Thomas,0.92,1,salon-040,,just went up and the russian artist muth and this is one of andy thomas's nfts at the top there's nagin's piece which was selected by
4,susan any,Susan Huang,0.8,1,salon-040,,out five years of working so okay [Music] awesome thank you susan any okay i think we'll probably hold questions until everyone's
4,Michael ree's,Michael Strevens,0.83,1,salon-043,, to me as well about some information about specific pieces Michael ree's sculptures they wanted to know like some information about 
4,Darcy garbar,Darcy Gerbarg,0.88,1,salon-043,,o say your name after all these years really Darcy that I'm Darcy garbar an artist who straddles to I don't think you're seeing this
4,giovana son,Giovanna Sun,0.87,1,salon-043,,ge nein estaban Neen I should know that giovana Alias dubom giovana son whose beautiful piece we have to at least acknowledge that 
4,Vern lights,Verneda Lights,0.88,1,salon-043,,have an soel great to see you Cynthia Beth rubben all right Vern lights Karen lefur r janusa Darcy garbage nein estaban Neen I shou
4,christine shulie,Christine Sciulli,0.85,1,salon-044,,ld you tell us a little more about it please sure my name's christine shulie i'm i'm going to share my screen it's sort of a demanding p
4,margaret dewinsky,Margaret Dolinsky,0.88,1,salon-046,,nists who isn't very often here very often is participating margaret dewinsky she's here we'll talk about her her work and she's going to
4,christine shuli,Christine Sciulli,0.88,1,salon-046,,self patrick steve miller Joseph Nechvatal felix rothschild christine shuli and anne spalter so very pleased with the you know the publ
4,roman vrosko's,Roman Verostko,0.86,1,salon-047,,l and she's 90 92 98. 98 you know bravo you know and so and roman vrosko's 93 and you know and so i guess what i'm saying is is that t
4,frederick pons,Frédéric Pons,0.81,1,salon-051,,uced to mid journey by my friend and fellow tech specialist frederick pons and since a lot of my digital work revolves around visions 
4,ann spalter's,Anne Spalter,0.88,1,salon-051,,f valid usages for it and and i did you know take notice of ann spalter's recent collection of ai spaceships which you know i thought
4,live day,Lee Day,0.8,1,salon-052,,is work and his art that the the world in which we normally live day to day and the world in which we still talk about today is 
4,Andrea bonaccato,Andrea Bonaceto,0.9,1,salon-055,,t was really one of the artists who started coming early on Andrea bonaccato who you know he was the person who sort of he was minting s
4,Michael Price's,Michael Rees,0.81,1,salon-055,,aughter] all right the next up we have Corey I think that's Michael Price's friend correct yeah yep yeah so I was hanging out at of cou
4,much calmer,Mich Palmer,0.82,1,salon-055,,ted access to the General Public so the discussion level is much calmer much cooler than it was when action painting and pop art ca
4,Marlow,Marlow Shami,0.67,1,salon-056,,resting variety of work there that you shared and let's see Marlow is up next hi everyone I have a very short keynote I'm goin
4,Michael Warner,Michael Farmer,0.86,1,salon-061,,xt artist up is Michael that's me yeah Michael or the other Michael Warner oh okay well I'm zooming in from Bayshore Long Island I'm a
4,Susan shutan,Susan Huang,0.87,1,salon-063,,ho you're around is really important another friend of mine Susan shutan makes shaped they're not the one on the right it's not actu
4,Michael after,Michael Farmer,0.81,1,salon-063,,n Colin Goldberg are there any people who'd like to present Michael after Colin thank you and I guess that will probably take us an h
4,Carla ganis's,Carla Gannis,0.88,1,salon-063,, will be and to obtain all the information you simply go to Carla ganis's Instagram page and she came to a couple of our meetings she
4,chalda,Chalda Maloff,0.63,1,salon-064,,e whole layer idea so thank you yeah thank you awesome okay chalda is next I'm in Austin Texas and like some of these others I
4,called Major,Chalda Maloff,0.64,1,salon-069,,ipulated it in procreate this other one has a spatial theme called Major Tom to Ground Control this is a photograph of a shingle on 
4,Eva David,Eva Davidova,0.86,1,salon-071,,n New York both of them have like liked expressionist stuff Eva David zwerner which I was very surprised about and pleased with s
4,Mike Romeo Knight shining,M.Romeo - Night Shining,0.83,1,salon-074,, work that I'm planning on asking to be on the show this is Mike Romeo Knight shining eat a sculpture I'd like to have some physical pieces I kno
4,Michael Lee,Michael Rees,0.87,1,salon-074,,ve you the names of the five topics they'll be explained by Michael Lee after I finish so the first would be tutorials the second O
4,sanjin Lee,Seungjin Lee,0.82,1,salon-074,,ry nice walls really so I'm working with sung Jin here I am sanjin Lee who runs the digiana studio oh here's an elevated view in L
4,Giovanna son,Giovanna Sun,0.92,1,salon-074,,2024 show in the summer that I'm working with sudden gently Giovanna son co-curating already wow wow I like the idea like that one o
4,Beth gumo,Beth Giacummo,0.82,1,salon-075,,e put out for her on Instagram and Facebook as well is that Beth gumo that's still the point person there so she's a really good 
4,Sue buer,Sue Beyer,0.82,1,salon-076,,s that was in the the expressionism digital and Beyond show Sue buer who's from Australia when I was looking at a lot of her wor
4,did me,David Mew,0.8,1,salon-076,,reaky no hands I think rata has her hand up oh hey so Apple did me a big favor when they put out iOS 17 I've been in the habit
4,datamash,Data_m0sh,0.82,1,salon-076,,log whereas a lot of glitch world is software you know like datamash like what's it photoos photoos is probably a popular softwa
4,Judy Jacobs,Judith Jacobs,0.83,2,salon-077;salon-079,,"And I've been working. I've been working on this along with Judy Jacobs, put a lot of time into trying to figure it out so II haven"
4,Carrie Anne,Carrie MaKenna,0.8,1,salon-080,,"h that little introduction, I'm going to ask either Joey or Carrie Anne to speak. Please"
4,to print,Tommy Mintz,0.63,2,salon-073;salon-081,," client computer and also on my laptop, which is what I use to print from. I I share using Apple's. I'm service. I call my deskt"
4,Patrick Licktie,Patrick Lichty,0.83,1,salon-081,,"ow the longer that this goes on, and this is something that Patrick Licktie had kind of emphasized"
4,rata yanisha,Renata Janiszewska,0.67,1,salon-086,,irst day of classes today for Kingsboro college and and I'm rata yanisha coming to you from lion's head in Canada Tommy curated the 
4,Mary and strand,Mary Ann Strandell,0.85,1,salon-086,,color as a formative you know generative object if you will Mary and strand D's lenticular image which I'm not sure if you're going to 
4,and tomao,Andy Thomas,0.8,1,salon-086,,ere finally my sculpture that was in the show this is tomao and tomao is an inflatable sculpture and I'm interested in working I'
4,Moritz alre,Moritz Albrecht,0.85,1,salon-086,,ancine levenson is underneath Roy Nicholson there and above Moritz alre work here right once again we have the texture think about 
4,Carter hodskins,Carter Hodgkin,0.9,1,salon-086,,'t think what's Carter's last thank you thank you thank you Carter hodskins on it as well thank you it's been a long day already we hav
4,sunin Le,Seungjin Lee,0.8,1,salon-086,,ch happens to be the second largest piece in the show after sunin Le can I get this all in the frame 13 foot by 13 put digital a
4,Francine levenson,Francene Levinson,0.88,1,salon-086,, really enjoyed how those two Works paired with one another Francine levenson is underneath Roy Nicholson there and above Moritz alre wor
4,Steven par,Stephen Paré,0.82,1,salon-086,,uerto Rican artists yes yes and and then we have a print by Steven par above work by what do we have here we have Lee Musgrave act
4,meltdown,Meltdownlove,0.8,1,salon-086,, Miller and ra I'm sorry Oz van Rosen and it's like we have meltdown love and Colin you're gonna have to help me with some of th
4,Karen laflor,Karen LaFleur,0.88,1,salon-091,,this weekend rata it's a two-person show with Rady anfa and Karen laflor which you know is an incredible piece of video art and then
4,sustain,Systaime,0.67,1,salon-092,,e artists that are presenting. But I do have a question for sustain. In your presentation you mentioned that AI involves collag
4,Renada Yanaszewska,Renata Janiszewska,0.83,1,salon-093,,"d between Cape Cod based Karen, Lafleur, and Canadian-based Renada Yanaszewska, Titled Mariniana."
4,"Renada, Yanaszewska",Renata Janiszewska,0.81,1,salon-094,,"rk is featured alongside and commissioned pieces by artists Renada, Yanaszewska, Karen LaFleur, and Jan Swinburne."
4,Renadi Anisewska,Renata Janiszewska,0.82,1,salon-094,,"to gain visibility to the group and our Instagram, Curator, Renadi Anisewska."
4,Darcy Gabar,Darcy Gerbarg,0.83,1,salon-094,,people showing up. Darcy Gabar has a beautiful augmented reality. Sculpture here that Sung
4,Renata Yanashewska,Renata Janiszewska,0.83,1,salon-094,,"And now I'd like to pass the mic on to Renata Yanashewska, who's our next artist presenter, and Renata is going to be"
4,Anne said,Ann Shapiro,0.7,1,salon-098,,", some are digital, some are mixed media on paper, and like Anne said, I have a 13x19 printer."
4,same thing,Sue Huang,0.63,1,salon-102,,"conduct research on Earth in the hopes of one day doing the same thing on Mars, and they're extremely competitive. It was not easy"
4,Michael uses,Michael Rees,0.83,1,salon-103,,"As a user of Midjourney, I know Michael… Michael uses Midjourney heavily."
4,"Isabelle,",Isabelle Arvers,0.7,1,salon-106,,"hat just because I didn't know if you're ready to introduce Isabelle, but go ahead. Yeah."
4,Isabelle,Isabelle Arvers,0.7,1,salon-106,,"Isabelle is back on, and, I don't know if you can get things to work"
4,at annspalter.com,Anne Spalter,0.69,1,interview-002,,on among others her artwork is available for viewing online at annspalter.com and with that we'll get started so welcome man thanks for c
4,ann smalter,Anne Spalter,0.87,1,interview-005,,jumped as a result as well you know i know i was talking to ann smalter about that recently and she's on a bunch of these different
4,michael creates,Michael Rees,0.89,1,interview-007,,veloped developed and refined a unique artistic perspective michael creates his original fine art prints based on his own specialized m
4,be fried,Ben Red,0.8,1,interview-008,,nd and the potatoes here had too high of a water content to be fried commercially for mcdonald's so this potato kind of potato t
4,older person,Oliver Peterson,0.81,1,interview-013,,sfied so in 2015 or 16 i decided to go back to school as an older person with lots of little people so that was that was fun and i j
4,francisco asian,Francis Mariano,0.8,1,interview-014,,eing in san francisco was a boon to that because of the san francisco asian art museum and just the incredible mix of people from all o
4,de luz,Deb Lutz,0.86,1,interview-016,,t inform our work but mostly i have to admit paul berlio je de luz and of course felix waltalvi who wrote a series of works ca
4,christine chile,Christine Sciulli,0.81,1,interview-016,,volved in is so you know like we were introduced through by christine chile who's one of the artists that's going to be in the involved
4,michael chamber,Michael Farmer,0.83,1,interview-024,,ith three other people marco vasi let's see louis jaffe and michael chamber they should all get credit well after one year of me being 
4,Christina albu,Christina Galbiati,0.81,1,interview-026,,formances concurrently with brainwave drawings and to quote Christina albu just as sobel's video performances involve a gestural dialo
4,mark like,Mark Klink,0.84,1,presentation-004,,"the spirit of the abstract expressionists. So, say I make a mark like that, and then I use these 3D tools in Adobe Illustrator th"
4,mark like,Mark Walker,0.8,1,presentation-004,,"the spirit of the abstract expressionists. So, say I make a mark like that, and then I use these 3D tools in Adobe Illustrator th"
4,Michael Reeves,Michael Strevens,0.87,1,roundtable-001,,'re seeing so different media so in the center here we have Michael Reeves augmented reality work relating to sculptural work and then
4,Christine shulley,Christine Sciulli,0.82,1,roundtable-001,,r aka DJ Spooky Steve Miller Joseph neck fatal Michael Rees Christine shulley Nina Sobel and spalter and Nina yankowicz I'm going to clos
4,Yuga Zhou,Yuge Zhou,0.89,1,roundtable-005,,"Of course, the curator of the exhibition is Yuga Zhou. She's a talented video artist herself, based in Chicago, a"
4,Renadia Nashevska's,Renata Janiszewska,0.65,1,roundtable-005,,Thanks so much chat. And what about Renadia Nashevska's work? Can you tell me a little bit about the artist and her
4,Renata's answers,Renata Janiszewska,0.71,1,roundtable-005,,"Well, Jen, you were mentioned in Renata's answers. So how about you go next?"
4,be bored,Ben Red,0.8,1,roundtable-005,,"ored while you're making that work, then your audience will be bored with it as well, and I took that to heart, and I never let "
4,vector based,Victor Acevedo,0.69,2,interview-021;salon-020,, artworks which ran on the pc and it was a two and a half d vector based. System this is an early version of that so you've got your
4,Patrick lick,Patrick Lichty,0.85,1,salon-043,,y else have anything else to say since you mentioned it Ros Patrick lick and myself will be doing one great handshake and I also the
4,steez miller,Steve Miller,0.92,1,salon-052,,ve gone from the higgs boson particle the god particle that steez miller was talking about and then on to quantum entanglement well 
4,to mind,Tommy Mintz,0.67,2,salon-065;salon-069,,ll right but I will share.  I think about war and it brings to mind my participation in the early 70s and the protests against 
4,two minutes,Tommy Mintz,0.64,1,salon-073,, maybe somebody else can go first and then I'll be ready in two minutes. All right is there anyone else who wants to share.
4,oan Rosen,Oz Van Rosen,0.86,1,salon-086,,hat's DJ Spooky with George Orwell looking over it and then oan Rosen and Rada sort of flanking the piece there. And there is an 
4,"Osvan Rosen,",Oz Van Rosen,0.87,1,interview-001,,"Osvan Rosen, who was in Southampton, who had used"
3,Renata Yanniszewska,Renata Janiszewska,0.92,1,salon-093,,"Hello! I'm Renata Yanniszewska, and I'm very happy to be here. Thank you, Benton, and than"
3,Tony Mintz,Tommy Mintz,0.86,1,salon-095,,"By the way, this is Tony Mintz. Most of you know him, but he's the curator of this show."
3,Andrea Bonacheta,Andrea Bonaceto,0.9,1,salon-095,,"how to mint through. One of the artists came into the group Andrea Bonacheta, who he created an nft with Sophia, which was a robot. Hand"
3,Erin Co,Erin Ko,0.86,1,salon-095,,"Have a story to tell. Yesterday, I mean the other day I met Erin Co. Who's here in the audience I told about laser. She came to"
3,"ago, during",Anton Dubrovin,0.64,1,salon-097,,"ut I didn't get into the art aspect of it until a few years ago, during Covid, when I bought"
3,all their,Allen Hirsh,0.7,1,salon-097,,"y interesting. It might be dynamic, it might be static, and all their talent is how they use the camera and how they use post"
3,Greg Garvey,Gregory Patrick Garvey,0.67,1,salon-100,,"e spirit of this exhibit. This is a cooperative effort, and Greg Garvey is controlling the actual slideshow, so we will…"
3,"Greg, greg Garvey",Gregory Patrick Garvey,0.67,1,salon-100,,"Greg, greg Garvey just signed off, I think he… this is, you know, the problem"
3,David came,David Mew,0.84,1,salon-107,,When David came to the place!
3,Harrison,Helen A. Harrison,0.64,1,roundtable-006,,"Helen A. Harrison is an art historian, journalist, author, and retired direct"
3,on human protein,Oz Van Rosen,0.64,1,roundtable-006,,"cts include collaborations with Nobel laureate Rod McKinnon on human protein research, work at Brookhaven National Lab, and lectures at "
3,of a response,Oz Van Rosen,0.64,1,roundtable-006,,"ith a way to describe my work, and I think that it was sort of a response to the idea that"
3,Renata Anishevska,Renata Janiszewska,0.86,1,roundtable-006,,"thing like 82,000 posts on Instagram using the hashtag, and Renata Anishevska is the Instagram curator, and she's done an amazing job of"
3,"Helen and, Christiane",Helen A. Harrison,0.68,1,roundtable-006,,"w if it was… it might have been the first roundtable, with, Helen and, Christiane Paul from the Whitney, talking about Techspressionism, and "
3,Randy Matsuchevitz,Randi Matushevitz,0.86,1,roundtable-006,,"Cynthia Beth Rubin has put together the show in Uzbekistan, Randy Matsuchevitz has organized Techspressionism LA, which I think there's go"
3,Verneda,Verneda Lights,0.67,1,presentation-002,,sically he do need temperature. Yeah. Great. Okay. I have a Verneda I have another question for you and this is I'd like to kno
3,street art,Stephen Paré,0.64,1,presentation-007,,s is the augmented layer. A lot of this stuff starts off as street art and becomes canvases in the studio. New York is a mythical 
2,lee okay,Lee Day,0.8,1,salon-033,,we have that i think Lee Schnaiberg is one of the or no not lee okay he's shaking his eye but yes there are a couple of people t
