type,number,title,video_id,source,note
salon,54,Open Studios,NFt4AfP-aRA,local file,salon_54_WP.jpg
salon,55,The NFT Space,sfMxOAC97Yo,local file,salon_55_WS.jpg
salon,56,Cultural Influences,I7-nXjL2koA,techspressionism.com featured image,salon_55_WP.jpg
salon,57,Nightmares,Q_5yvTBIL5M,local file,salon_57_WP.jpg
salon,58,Dreams,7zhZis1d3po,local file,salon_58_WP.jpg
salon,59,AI: Trends and Issues,M3lz4NxC8N4,local file,salon_59_WP.jpg
salon,60,Media Platforms,Iu25Pv7EqK0,local file,salon_60_WP.jpg
salon,61,Open Studios,axa3_RqLoWw,local file,salon_61_WP.jpg
salon,62,Art Pirates,k8Prps3LUKE,local file,salon_62_WP.jpg
salon,63,Breaking Borders,j-nNutQp8wc,local file,salon_63_WP.jpg
salon,64,Layers,hyYpGwwt2G0,local file,salon_64_WP.jpg
salon,65,Revolution,qBc4IjFobIg,local file,salon_65_WP.jpg
salon,66,Mediums,UBx4LDG--60,local file,salon_66_WP.jpg
salon,67,Untitled,-m_aiHkazGI,local file,salon_67_WP.jpg
salon,68,Appropriation,vMQWnv70FvA,local file,salon_68_WS.jpg
salon,69,Monochrome,90wRPqAgA98,local file,salon_69_WS.jpg
salon,70,Learning Through Making,GW0Vig0R8wA,local file,salon_70_WS.jpg
salon,71,Growth,rYpn_GAV3I4,local file,salon_71_WS.jpg
salon,72,Environment,zsJAhBFVn5s,local file,salon_72_WS.jpg
salon,73,Counterpoint,oimOOlyY0BY,local file,salon_73_WS.jpg
salon,74,Taking Stock: Open Mic,IzL0mVtw8do,local file,salon_74_WS.jpg
salon,75,Falling Leaves,UwkMNkLGZ6Q,local file,salon_75_WS.jpg
salon,76,Phreaking,ni_Sr6-zBXg,local file,salon_76_WS.jpg
salon,77,"December 7, 2023",e58ctMQ-ccc,local file,salon_77_WS.jpg
salon,78,"January 4, 2024",fEzz3PiADrU,local file,salon_78_WS.jpg
salon,79,: Photography,AXCiQqjVHyA,local file,salon_79_WS.jpg
salon,80,"March 7, 2024",EoF3pT-iZSg,local file,salon_80_WS.jpg
salon,81,"April 4, 2024",VfiH4ayJbGE,local file,salon_81_WS.jpg
salon,82,"April 4, 2024",Lc0jSsfTb9A,local file,salon_82_WS.jpg
salon,83,Influences,ekZHtu7TM9Q,local file,salon_83_WS.jpg
salon,84,Independence,9uB83V9qp8M,local file,salon_84_WS.jpg
salon,85,Perspective,OdbOncqxQ7s,local file,salon_85_WS.jpg
salon,86,Hello Brooklyn,vE2cOCt7b0o,local file,salon_86_WS.jpg
salon,87,Wild and Newfangled Techspressionism,RFWaEX_2QPk,local file,salon_87_WS.jpg
salon,88,Education,htDS7UsZjyA,local file,salon_88_WS.jpg
salon,89,Mariniana,gesSwVo36wo,local file,salon_89_WS.jpg
salon,90,Origins Part One,o7pyuyo35iU,local file,salon_90_WS.jpg
salon,91,Origins Part Two,5RXM-lkRkhI,local file,salon_91_WS.jpg
salon,92,Breaking AI,bdzAVjhHPaw,local file,salon_92_WS.jpg
salon,93,Live From Cape Cod,PrrvyUZvD5k,local file,salon_93_WS.jpg
salon,94,150 Media Stream  Chicago,npycONiSa_c,local file,salon_94_WS.jpg
salon,95,Live from Chelsea,LntR7Bo5jmA,local file,salon_95_WS.jpg
salon,96,Open Studios,VaKW4Gnh9eE,local file,salon_96_WS.jpg
salon,97,Creative Coding,w6dn7xxG6ds,local file,salon_97_WS.jpg
salon,98,,3JOMa_JYp9s,local file,salon_98_WS.jpg
salon,99,Floating Questions 🎈,1cuvfkJw3rs,techspressionism.com featured image,salon_98_WS.jpg
salon,100,Hello Uzbekistan,XpQRmDG0f5s,local file,salon_100_WS.jpg
salon,101,Open Mic,l9TiCHiOgpQ,local file,salon_101_WS.jpg
salon,102,Art-Science Intra-Action,VxS9DBtseCE,local file,salon_102_WS.jpg
salon,103,Generative AI,QT6X7WrTTmA,local file,salon_103_WS.jpg
salon,104,"History, Theory, Connectivity",7zk9GzgaLvs,local file,SALON_104_WP.jpg
salon,105,Every Woman Biennial,P-sfs-tCkgw,local file,SALON_105_WP.jpg
salon,106,France,kAXUgOIUjw0,local file,SALON_106_WP.jpg
salon,107,New Artists,xm747MwGbiA,local file,SALON_107_WP.png
salon,108,Los Angeles and Beyond,RSGBYaBbWgg,local file,SALON_108_WP.jpg
salon,109,Open Mic: August 2026,w8IHfgE2veI,techspressionism.com featured image,SALON_109_WP.jpg
salon,110,Loop Art Critique,pMRthFj7aw4,techspressionism.com featured image,SALON_110_WP-1.jpg
interview,1,Colin Goldberg,JZFDck9gwH8,techspressionism.com featured image,"interview.jpg (1200x628, fitted on white)"
interview,2,Anne Spalter,2JTyaVoXMsQ,techspressionism.com featured image,"spalter.jpg (1491x833, fitted on white)"
interview,3,Roz Dimon,DJDMQvtiOQU,techspressionism.com featured image,"dimon_interview.jpg (1615x910, fitted on white)"
interview,4,Joseph Nechvatal,Hjej663DEjw,techspressionism.com featured image,"nechavatal.jpg (1598x996, fitted on white)"
interview,5,Davonte Bradley,qE6D2wrr1rU,techspressionism.com featured image,"davo-scaled.jpg (2560x1441, fitted on white)"
interview,6,Patrick Lichty,a5h-eBQYrks,techspressionism.com featured image,"patrick.jpg (1467x825, fitted on white)"
interview,7,Michael Pierre Price,XLRoHnYg1dA,techspressionism.com featured image,mpp.jpg
interview,8,Steve Miller,--L1ziEx3-A,techspressionism.com featured image,miller_interview_featured.jpg
interview,9,Andrea Bonaceto,YaKIk32mYWw,techspressionism.com featured image,andrea_bonaceto.jpg
interview,10,Brandon Gellis,rO6UdqwFKFc,techspressionism.com featured image,gellis.jpg
interview,11,Michael Rees,nGPCwUZj9fs,techspressionism.com featured image,"michael_rees.jpg (1200x623, fitted on white)"
interview,12,Gregory Little,m6ca8UoF49M,techspressionism.com featured image,greg.jpg
interview,13,Cee Moses,w6fW5oWbBdk,techspressionism.com featured image,cee-1.jpg
interview,14,Carter Hodgkin,DEIe5Z44tx0,techspressionism.com featured image,carter_interview.jpg
interview,15,Darcy Gerbarg,aP2x9m5GMak,techspressionism.com featured image,gerbarg.jpg
interview,16,Paul D. Miller aka DJ Spooky that Subliminal Kid,sqMzJArwmhg,techspressionism.com featured image,paul_colin_interview.jpg
interview,17,Tommy Mintz,k1kO0JSzqc8,techspressionism.com featured image,tommy_mintz_interview_061721.jpg
interview,18,Randi Matushevitz,Jb-J_QTgufM,techspressionism.com featured image,randi.jpg
interview,19,Malavika Mandal Andrew,lXCEgu2Iz5k,techspressionism.com featured image,malavika.jpg
interview,20,Renata Janiszewska,kfGb9OWyXEM,techspressionism.com featured image,renata-1.jpg
interview,21,Victor Acevedo,ywYWdI922tI,local file,victor_avevedo_WP.jpg
interview,22,Karen LaFleur,FDFxHrpDvEI,local file,karen_WP.jpg
interview,23,Suzanne Anker,GReJ-zgJz-o,local file,suzanne_WP.jpg
interview,24,Frank Gillette,RoCFEGxcw4Y,local file,FRANK_GILLETTE_INTERVIEWED_BY_HELEN_HARRISON_WP.jpg
interview,25,Verneda Lights,8x8eIkbpHws,techspressionism.com featured image,"verneda_lights_interview.jpg (1920x1080, fitted on white)"
interview,26,Nina Sobell,iQL826mqyFg,techspressionism.com featured image,sobell.jpg
interview,27,cari ann shim sham,Jj66toeEM0Q,techspressionism.com featured image,"cariann.jpg (1920x1080, fitted on white)"
interview,28,Sasha Stiles,xkfYnuTP2zA,techspressionism.com featured image,"sasha.jpg (1920x1080, fitted on white)"
interview,29,Claudia Hart,4kHuGtuLoSY,techspressionism.com featured image,"claudia.jpg (1920x1080, fitted on white)"
interview,30,Carla Gannis,Q-4Co29bgiM,techspressionism.com featured image,"carla.jpg (1920x1080, fitted on white)"
presentation,1,Digital Painting and Drawing 1,z8fZvhQgl80,YouTube thumbnail,"1280x720, fitted on white"
presentation,2,AI as Creative Collaborator,GvAkzINQBT8,YouTube thumbnail,"1280x720, fitted on white"
presentation,3,Collaborations Between Artists and Scientists,DtGglnJ4mdI,YouTube thumbnail,"480x360, fitted on white"
presentation,4,Digital Painting & Drawing 2,9u3WpSKe3bM,YouTube thumbnail,"1280x720, fitted on white"
presentation,5,Moving Images: Sequencing as Visual Expression,XgXtLT1I-T4,YouTube thumbnail,"1280x720, fitted on white"
presentation,6,Digital Photography,V3NO6tMIiPU,YouTube thumbnail,"1280x720, fitted on white"
presentation,7,How Technology Changes Artist Interactions with Cultural Sources,lW17XAepKs4,YouTube thumbnail,"1280x720, fitted on white"
presentation,8,Digital Sculpture and World Creation,1OgIwvY5_F4,YouTube thumbnail,"1280x720, fitted on white"
presentation,9,Technology and Art with Colin Goldberg,8aQDDA-u0io,techspressionism.com featured image,Pollock-Krasner_Techspressionism-1.jpg
roundtable,1,Curators in Conversation,-8Glurhxyms,YouTube thumbnail,"1280x720, fitted on white"
roundtable,2,Approach,S_q30BIvh8c,local file,TS_RT_02_HD_APPROACH_WP.jpg
roundtable,3,Science & Art: Part One,_oxmBXSdyNk,techspressionism.com featured image,"TS_RT_03_INTRO_HD_SCI_1.jpg (1920x1080, fitted on white)"
roundtable,4,Science & Art: Part Two,4HfJCnIp8XE,techspressionism.com featured image,TS_RT_04_INTRO_HD_SCI_2_WEB.jpg
roundtable,5,Four Techspressionist Artists,BphNOUbReFs,local file,roundtable_5_intro_WS.jpg
roundtable,6,Founders: Five Years Later,lVI5UE-AD9E,techspressionism.com featured image,"RT_6.jpg (1920x1080, fitted on white)"
