id,recording type,number,title,time,heard as,sentence,choice (A Techspressionism / B Techspressionist / C Techspressionists / D leave)
M11,salon,37,Diana de Avila & Patrick Lichty,1:24:47,text expression,"Well, you can sit consider the text expression is still life I can, I mean the thing is that it never went away.",
M12,salon,44,East End Tech,1:22:39,text expression,"I would like to just pose this question to any of the presenters that would want to answer is how do you, maybe in one sentence, how do you personally relate to the, to the idea of text expression?",
M13,salon,49,Movement,51:54,text expressions,"Yeah, you know, or, you know, the account, because of the character limit is at text expressions.",
M14,salon,49,Movement,1:16:22,text expressions,It's text expressions.,
M15,salon,50,Output & Fabrication,47:47,Text press,Text press?,
M16,salon,51,AI Engines: Friend or Foe?,8:06,text Crescent,"Again, in mid journey, I put the text Crescent.",
M17,salon,52,Art and Physics,31:01,text expression,"Now, for the text expression exhibition that Colin curated, I put together a painting using a series of equations coming out of both Schrodinger and Heisenberg in their engagements with later developments, which would now be called quantum entanglement.",
M18,salon,58,Dreams,25:42,text expression,"Square feet and that is going to be going at full advertisement in these next few weeks and I will I will post the name of the galleries over here in the chat room in the chat room probably you can take a look at it study get familiar with it and if you like it go for it I encourage all of you to do it I think you have a very good work all of you have excellent work I'd love to look into it jay jamie correct what was the name of the gallery again how do I get in touch with you yeah I'm going to put a post in here in the chat room and I'm going to copy the links to the two galleries that one is one is long island city artists and the other one is culture love we have we have events every week and you're going to get spoiled if you like it so I would like to invite all of you to join this artwork it's live performances artwork sculptures it's you name it so and when I'm one of them then you like to advise what to do sounds great thank you thank you for sharing those resources with this I'm going to post in a few seconds what I can do for you guys okay thank you so much and back to harvey's presentation but again you very much fit in here so you are your work is very much you know a part of I think the Techspressionism ideal or not ideal but the spirit of expressionism because that's what I call it on my portfolio website techspression but underneath I did write abstract because I don't know how many people know about text expression expression we're working on that well maybe I can help yeah go for it that's what it's all about is people who identify with the idea and you know being able to tell you tell us about the idea of Techspressionism and I think that's really important One person, you know, I describe my work as Techspressionist.",
M19,salon,61,Open Studios,1:08:36,text expressions,She's curated a show of animations with a number of text expressions.,
M20,salon,69,Monochrome,0:04,Text expression,"My name is Colin Goldberg, and welcome to the Colin Goldberg, M.D.: Text expression is salon number sixty-nine.",
M21,salon,73,Counterpoint,43:49,text preciousness,"Kristen, it's wonderful to see you here I'm, I'm the one who welcomed you to text preciousness.",
M22,salon,74,Taking Stock: Open Mic,29:25,text expression,"I just wanted to add for the people that are watching this on a recording, or if you're in the room, there is a link on the text expression is a homepage for virtual coworking.",
M23,salon,77,"December 7, 2023",1:06,text freshmen,But I tend to like to think of text freshmen as a social sculpture.,
M24,salon,79,: Photography,0:43,text expressions,"And I'd like to say, thank you to Cynthia Beth Rubin for setting that up for us, and also for all her efforts that she makes to make text expressions in a truly global and inclusive community.",
M25,salon,79,: Photography,1:11,text expression,"Or you can get to it also through the link in Bio, in the text expression, is this Instagram account?",
M26,salon,83,Influences,1:14:34,text community,"And with that I also did want to announce an upcoming event that the text community is organizing, which is an our 1st museum exhibition.",
M27,salon,88,Education,0:10,text Salon,"And we're here at the 88th text Salon, and the theme of this salon is education, and we have a special guest, moderate moderator here, Malavika.",
M28,salon,107,New Artists,1:21:55,text fresh,How has this shift changed your broad integration into music want it's interesting that as work became less diverse and less midst pop field as well as design has changed as well as writing or upset stories from weather figures or silver linings just dreamlike bakish restrictions right now it was bad enough so much even though there has been well known opinions down all around so many stories about jes dress industry now things like dancing events kind of grew new stops did something keep game changing things around I mean I mean Mario as well in terms of being able to have a playground to experiment and because that's where the that's where the new work can emerge from and I think it's very important to experiment that's what I think our role as an artist is to sort of to walk the tightrope without a net we have to be able to experiment freely but then again what Colin was saying is that we need to take possession as artists of the medium and what all that entails and I think the idea one of the ideas behind text fresh Techspressionism is to also take hold of the technology and not be afraid of it and be willing to integrate that into the experimentation and I think that's a very important approach but I think that also it's sometimes you have to work within the commercial sphere and the way I like to look at it is because some of this technology is very advanced for me for example computer graphics were very advanced in the late 80s early 90s and there was no way for me to get my hands on the technology except for stepping into the commercial world and same with you Colin I think with some of that the work that you were doing as well.,
M29,interview,16,Paul D. Miller aka DJ Spooky that Subliminal Kid,0:44,text expression,"And Colin, it's been real, you know, interesting to get a chance to see the evolution of what you're doing with this whole text expression scenario.",
