tier,heard as,probably,times,recordings,where,example recording,example time (s),example
B,tor borwell,Tor Burwell,1,1,salon-042,salon-042,1105,e. So it's really cool.  Great. The next piece is Tor Borwell. It's titled Flunky Flux. It's a video. United States 2022. And I don't believ
B,tikowai kuitenbrauer,Tikoi Kuitenbrouwer,1,1,salon-042,salon-042,2560,"sorry, I may not say the name correctly. Tikwa or Tikowai Kuitenbrauer. Sticks and Bones Digital Monoprint on Aluminum. The Netherlands. Yes"
B,guillermo arias-mondi,Guillermo Arismendi,1,1,salon-042,salon-042,2933,ou. Thank you.  And below that we have Guillermo. Guillermo Arias-Mondi from the Canary Islands. The title is 100921. It's a digital monopri
B,philippe ormiere,Philippe Ormières,1,1,salon-042,salon-042,3296,ted in looking at what he has online. The next is Philippe Ormiere. His piece is called Ceté Couché de Soleil Magique. Digital monoprint on 
B,jan swinbur,Jan Swinburne,1,1,salon-042,salon-042,3658,"y Musischewitz, Janice Randenburg-Lee, TinTan23x, Jan Swinbur, Frederick Pons, Diana Diavola, Lee Day, Susan Wong, Nina Sobel, Dana Jones, N"
B,mary buchever,Mary Boochever,1,1,salon-042,salon-042,7019," back wall here, but very visible from the front. Mary Buchever, treatments one through, I believe, 11.  Paper Inc. US 2003. Mary, are you w"
B,john zeman,John Zieman,1,1,salon-044,salon-044,3505," expensive sport doing that too. So yeah, hi, I'm John Zeman, New York City, starting in 1980 and Hampton since 1990.  At first it was just "
B,nagin etesabian,Negin Ehtesabian,1,1,salon-046,salon-046,382,"st. Of course, my wife and partner in all things, Nagin Etesabian. And who actually has really been super throughout this entire process.  R"
B,irshad fatahian,Ershad Fatahian,1,1,salon-046,salon-046,4216,"nd then actually for one of our pieces, we've got Irshad Fatahian, so kill so you don't get killed. This is actually also an NFT, where you "
B,michael's piece,Michael Pierre Price,1,1,salon-049,salon-049,437," Yeah, yeah. But the thing is, is that Michael's, Michael's piece, you know, has the AR component, you know, in other words, there's a physi"
B,michael's piece,Michael Price,1,1,salon-049,salon-049,437," Yeah, yeah. But the thing is, is that Michael's, Michael's piece, you know, has the AR component, you know, in other words, there's a physi"
B,tikoi keitenbroer,Tikoi Kuitenbrouwer,1,1,salon-053,salon-053,185,rtist is coming to us from the Netherlands. He is Tikoi Keitenbroer. Thank you very much. Thank you very much for staying up late to be with
B,lee schneiber,Lee Schnaiberg,1,1,salon-061,salon-061,414," who also work with sort of, you know, the I know Lee Schneiber calls it like rogue, rogue pano, like kind of using pano shooting and stitch"
B,lee schneiber,lee schnaiberg,1,1,salon-061,salon-061,414," who also work with sort of, you know, the I know Lee Schneiber calls it like rogue, rogue pano, like kind of using pano shooting and stitch"
B,robert trips,Robert A. Ripps,1,1,salon-065,salon-065,2707,"d the people on social media. I think his name is Robert trips.  And he always ends his comments with, you know, peace in Ukraine. Or he men"
B,lee schneiberg's,Lee Schnaiberg,1,1,salon-073,salon-073,33," left. Also, today we're going to experiment with Lee Schneiberg's suggestion that at the end of each presentation, you can unmute. And for "
B,lee schneiberg's,lee schnaiberg,1,1,salon-073,salon-073,33," left. Also, today we're going to experiment with Lee Schneiberg's suggestion that at the end of each presentation, you can unmute. And for "
B,frank chillette,Frank Gillette,1,1,salon-077,salon-077,1762,"ineties. Her husband is also very storied artist, Frank Chillette, who worked with Martian clue, and is one of the people that you'll read a"
B,cynthia didinato,Cynthia DiDonato,1,1,salon-078,salon-078,4158,Cynthia. Didinato.
B,joseph necbatal,Joseph Nechvatal,1,1,salon-086,salon-086,1770," Thank you. It's been a long day already. We have Joseph Necbatal over here. Also, we have this large piece by Clive Holden splitting this l"
B,anne shapiro,Ann Shapiro,1,1,salon-086,salon-086,5963," September 16th at 2, there's an artist talk with Anne Shapiro on environmentalism and digital art, which hopefully we can webcast or Zoomca"
B,adrian wartzel,Adrianne Wortzel,1,1,salon-087,salon-087,1353,"And so on.  Cari ann shim sham**: Night swatch by Adrian Wartzel. Cari ann shim sham**: Yeah, Adrian is on the zoom. I'm not sure if going t"
B,annette wingtrub,Annette Weintraub,1,1,salon-087,salon-087,1353," Ghosted artifacts, zigzags, twists, and turns by Annette Wingtrub.  Cari ann shim sham**: Him.  Cari ann shim sham**: melted architecture. "
B,karen lefleur,Karen LaFleur,1,1,salon-087,salon-087,2802,"vement in there happening.  Cari ann shim sham**: Karen, Lefleur, Fanwaves."
B,davante bradley's,Davonte Bradley,1,1,salon-088,salon-088,196,"t space was born out of collaboration with artist Davante. Bradley's curated show, titled Expressionist collab. 2 Collaborative art space st"
B,anayas chaturvedi,Anya Chaturvedi,1,1,salon-088,salon-088,1163,"group. The next group who are presenting today is Anayas Chaturvedi, and Drew Gurg."
B,adrita purkite,Adrita Purkait,1,1,salon-088,salon-088,1771,So our next Group who is presenting is Adrita Purkite and Aisha Malu.  Are you there?
B,renata yanaszewska,Renata Janiszewska,1,1,salon-088,salon-088,4715,"ideas for that. The December salon is going to be Renata, Yanaszewska, and Karen LaFleur introducing Mariniana, which is their exhibition at"
B,renata yanaszewska,renata Janiszewska,1,1,salon-088,salon-088,4715,"ideas for that. The December salon is going to be Renata, Yanaszewska, and Karen LaFleur introducing Mariniana, which is their exhibition at"
B,cynthia adidonado,Cynthia DiDonato,1,1,salon-089,salon-089,1696,n these tube worms live around these ocean fence. Cynthia Adidonado can tell you more about that because her project was on Events and the t
B,cynthia diadonado,Cynthia DiDonato,1,1,salon-089,salon-089,1696," Art. He highlights the entire program along with Cynthia Diadonado and Cynthia Beth Rubin, who are both Techspressionist artists and are al"
B,darcy gerbark,Darcy Gerbarg,1,1,salon-091,salon-091,2231,ortant book. Digital Visions.  There's a piece by Darcy Gerbark. This tile piece. This further affirmation that the M.C. Escher tessellation
B,renata yanniszewska,Renata Janiszewska,1,1,salon-093,salon-093,2017,"er on.  Okay, that's the whole thing.  Hello! I'm Renata Yanniszewska, and I'm very happy to be here. Thank you, Benton, and thank you to th"
B,renata yanniszewska,renata Janiszewska,1,1,salon-093,salon-093,2017,"er on.  Okay, that's the whole thing.  Hello! I'm Renata Yanniszewska, and I'm very happy to be here. Thank you, Benton, and thank you to th"
B,andrea bonacheta,Andrea Bonaceto,1,1,salon-095,salon-095,1505,"t through. One of the artists came into the group Andrea Bonacheta, who he created an nft with Sophia, which was a robot. Handsome labs, I t"
B,angela ferrariolo,Angela Ferraiolo,1,1,salon-104,salon-104,4,"ths at the University of London. Our third guest, Angela Ferrariolo, is a systems artist focused on open-endedness, self-organization, morph"
B,tasneem bashir,Tassneen Bashir,1,1,salon-105,salon-105,1321,"to order about 7 minutes. You chose this destiny? Tasneem Bashir is a game designer, educator, and visual artist that is dedicated to creati"
B,susan detroy's,Susan Detroy,1,1,salon-108,salon-108,1608,"d Renata Yanoshevska, and this is a photo showing Susan Detroy's video artwork. And here's a photo of Renata's video art. Looks wonderful. T"
B,randy matashevitz,Randi Matushevitz,1,1,salon-108,salon-108,1608,other monitor on the right is Audrey Phillips and Randy Matashevitz. And again photos for each Cynthia Beth Rubin work. Michael Woodruff. Ma
B,jackie morey,Jacki Morie,1,1,salon-108,salon-108,3577,"I just wanted to add quickly. I think Jackie Morey is on this call, but I can't see who's here. So Jackie, who's one of the part"
B,and young,Andy Young,1,1,interview-019,interview-019,1113,"y men that are recognized talent Andy Young women and young men and who teach teachers, you know I review teachers. I love the. Yes. I love "
B,joseph nechvatall,Joseph Nechvatal,1,1,interview-029,interview-029,2777,"Where I met Patrick, and it was actually Joseph Nechvatall that recommended that place to me, because he said, you know, I have thi"
B,ann spalter,Anne Morgan Spalter,1,1,roundtable-001,roundtable-001,186,"counterpart to the surrealist salons of the past. Ann Spalter, artist and author of Computer and the Visual Arts, published by Addison Wesle"
B,ann spalter,Anne Spalter,1,1,roundtable-001,roundtable-001,186,"counterpart to the surrealist salons of the past. Ann Spalter, artist and author of Computer and the Visual Arts, published by Addison Wesle"
B,joseph necfatal,Joseph Nechvatal,1,1,roundtable-001,roundtable-001,186,"off, Paul D. Miller, aka DJ Spooky, Steve Miller, Joseph Necfatal, Michael Rees, Christine Schooley, Nina Sobel, Anne Spalter, and Nina Yank"
B,randy matsuchevitz,Randi Matsushevitz,1,1,roundtable-006,roundtable-006,3770,"th Rubin has put together the show in Uzbekistan, Randy Matsuchevitz has organized Techspressionism LA, which I think there's gonna be multi"
B,shiran tashova,Shirin Tashova,1,1,presentation-003,presentation-003,2734,"hi. And also again thank Shirin Tashova, director Shiran Tashova who got us all together and got us to Uzbekistan and and had the wonderful "
B,negin ehtrsabian,Negin Ehtesabian,1,1,presentation-007,presentation-007,220,"at at neginete_art.  That's us Patrick Lichty and Negin Ehtrsabian. I'm at patlichty.Com and she's at neginete.Com we are from Winona, Minne"
